rank,title_id,title,players,percentage,release_date
18,10016736,EA SPORTS™ Madden NFL 27,6293,1.792,2026-08-06
32,10017189,Big Walk,3834,1.0918,2026-08-04
57,10008019,MARVEL Tōkon: Fighting Souls,1671,0.4758,2026-08-06
67,10019078,No More Room in Hell 2,1422,0.4049,2026-08-11
75,10010058,Mortal Shell II,1294,0.3685,2026-08-20
81,10014425,Hell Let Loose: Vietnam,1187,0.338,2026-08-12
82,10016651,Grounded 2,1144,0.3258,2026-08-11
104,10013884,Halo: Campaign Evolved,906,0.258,2026-07-28
224,10017212,Mistfall Hunter,343,0.0977,2026-07-30
252,10010865,The Lord of the Rings: War in the North™ - Legacy Edition,298,0.0849,2026-08-10
274,10019710,Onimusha: Dawn of Dreams,267,0.076,2026-08-18
292,10014719,Beast of Reincarnation,236,0.0672,2026-08-04
371,10017040,Waterpark Simulator,173,0.0493,2026-07-31
506,10007642,Atlantis: The Lost Empire [PS1 Emulation],98,0.0279,2026-08-18
538,10009208,The Sinking City 2,91,0.0259,2026-08-18
555,10017298,CloverPit,86,0.0245,2026-08-13
682,10014396,Gallipoli,62,0.0177,2026-08-20
749,10014600,Duskfade,52,0.0148,2026-08-13
785,10019687,Dating Stories 2,47,0.0134,2026-07-31
799,10015762,Once Human,46,0.0131,2026-08-24
1099,10015979,Village in the Shade,23,0.0065,2026-07-29
1135,10009826,Voidtrain,21,0.006,2026-07-30
1157,10015004,Starsand Island,20,0.0057,2026-08-18
1322,10017931,The King is Watching,15,0.0043,2026-07-29
1328,10017883,Carry The Glass,14,0.004,2026-08-31
1682,10019099,Berry Bury Berry,8,0.0023,2026-08-20
1684,10016753,Bootstrap Island,8,0.0023,2026-08-13
1711,10017990,Is This Seat Taken?,8,0.0023,2026-08-31
1757,10010147,The Relic: First Guardian,8,0.0023,2026-07-31
1779,10017140,BLUE REFLECTION Quartet,7,0.002,2026-07-30
1836,10011479,Super Bunny Man,7,0.002,2026-08-06
1903,10012547,Kynseed,6,0.0017,2026-08-04
1906,10018355,Leafy Corner,6,0.0017,2026-07-30
2041,10018486,Idle Immortal,5,0.0014,2026-08-13
2072,10014311,PAW Patrol™: Dino World,5,0.0014,2026-07-31
2116,10018629,Tower Dominion,5,0.0014,2026-08-14
2131,10019957,Wild Blue Skies,5,0.0014,2026-08-13
2148,10014695,Aliens: Fireteam Elite 2,4,0.0011,2026-08-25
2269,10020204,New York Mysteries 3: The Lantern of Souls,4,0.0011,2026-07-29
2287,10018386,Pro Jank Footy,4,0.0011,2026-08-12
2410,10013637,Brigandine Abyss,3,0.0009,2026-08-27
2433,10018689,Defender of the Crown: The Legend Returns,3,0.0009,2026-08-13
2443,10017440,Emergency Room Simulator,3,0.0009,2026-08-13
2467,10019613,Ground Zero Hero,3,0.0009,2026-08-20
2503,10017553,Marsupilami 2 - Salsa Palombia,3,0.0009,2026-09-03
2517,10008133,Moonlighter 2: The Endless Vault,3,0.0009,2026-09-02
2667,10018178,1998: The Toll Keeper Story,2,0.0006,2026-08-08
2680,10019019,Akatori,2,0.0006,2026-08-13
2800,10019343,Dungeon Antiqua,2,0.0006,2026-07-29
2828,10011344,Far Lands,2,0.0006,2026-07-29
2864,10010662,Gothic Classic,2,0.0006,2026-07-28
2871,10016444,Grim Trials,2,0.0006,2026-08-20
2873,10019564,Grizzy and the Lemmings - Crazy Party,2,0.0006,2026-08-07
2922,10014861,Kusan: City of Wolves,2,0.0006,2026-07-30
2959,10009075,METAL GEAR SOLID: MASTER COLLECTION Vol.2,2,0.0006,2026-08-27
2985,10019342,No Case Should Remain Unsolved,2,0.0006,2026-08-19
3010,10019692,Psalm 5:9-13,2,0.0006,2026-08-21
3160,10014568,Truxton Extreme,2,0.0006,2026-07-30
3162,10017663,Tyrant's Realm,2,0.0006,2026-08-13
3230,10017381,70s-style Robot Anime Geppy-X,1,0.0003,2026-07-31
3310,10019317,Arcade Archives 2 CYBER CYCLES,1,0.0003,2026-08-20
3312,10019872,Arcade Archives 2 NINJA EMAKI,1,0.0003,2026-08-20
3524,10019068,Console Archives BUBBLE BOBBLE,1,0.0003,2026-08-26
3526,10019067,Console Archives Rhapsody II: Ballad of the Little Princess,1,0.0003,2026-08-20
3543,10016135,Creepy Shift: Uncle Joe’s Motel,1,0.0003,2026-08-21
3568,10020187,Dark Reflection,1,0.0003,2026-08-20
3704,10018069,Feudal Baron: King's Land,1,0.0003,2026-08-06
3867,10019155,Ironforged,1,0.0003,2026-08-07
3897,10020075,Karakulo 21,1,0.0003,2026-08-13
3946,10020272,Lingix Lingo,1,0.0003,2026-08-15
3993,10019204,Mate'Morphosis,1,0.0003,2026-08-05
4006,10018714,Mexican Ninja,1,0.0003,2026-08-20
4087,10019936,Nightmare Delivery,1,0.0003,2026-08-13
4088,10018823,Nightmare Shift,1,0.0003,2026-08-13
4091,10020374,No More Slimes!!,1,0.0003,2026-08-19
4142,10020136,Pets Survivors,1,0.0003,2026-08-12
4179,10019193,Politics The Game,1,0.0003,2026-08-18
4234,10015413,Resonance: A Plague Tale Legacy,1,0.0003,2026-08-27
4341,10018079,Sizeable,1,0.0003,2026-07-29
4342,10019221,Skatesterre,1,0.0003,2026-08-13
4495,10020076,The Harmony Chronicles: Elixir Revolution Collector's edition,1,0.0003,2026-07-31
4531,10019398,The Three Kingdoms: Rebirth,1,0.0003,2026-08-10
4714,10019436,Zombie Graveyard Simulator,1,0.0003,2026-07-30
