rank,title_id,title,players,percentage
1,228748,Fortnite,88289,25.4995
2,223118,Roblox,63488,18.3365
3,10011898,EA SPORTS FC™ 26,47904,13.8356
4,201930,Grand Theft Auto V,39047,11.2775
5,203715,Rocket League®,32577,9.4088
6,10001130,Call of Duty®,28394,8.2007
7,212779,Minecraft,22931,6.6229
8,203897,Tom Clancy's Rainbow Six Siege,15049,4.3464
9,10018502,NBA 2K27,14557,4.2043
10,10014149,NBA 2K26,10328,2.9829
11,10010451,Marvel Rivals,10310,2.9777
12,10017658,Call of Duty®: Black Ops II,10252,2.961
13,232352,Apex Legends™,8376,2.4191
14,10002456,Marvel's Spider-Man 2,7865,2.2716
15,209441,Red Dead Redemption 2,7317,2.1133
16,10002427,eFootball™,6904,1.994
17,10015430,MLB® The Show™ 26,6441,1.8603
18,10009568,Battlefield™ 6,6130,1.7705
19,216627,Overwatch®,5783,1.6702
20,10016592,EA SPORTS™ College Football 27,5778,1.6688
21,10006353,skate.™,5146,1.4863
22,10016736,EA SPORTS™ Madden NFL 27,5018,1.4493
23,10009762,EA SPORTS FC™ 25,4976,1.4372
24,10010048,VALORANT,4755,1.3733
25,10012604,EA SPORTS™ Madden NFL 26,4569,1.3196
26,10011645,Call of Duty®: Modern Warfare® III,4438,1.2818
27,10000657,HELLDIVERS™ 2,4430,1.2795
28,10008716,Sniper Elite: Resistance,4149,1.1983
29,10004896,Wobbly Life,4024,1.1622
30,227319,Dead by Daylight,3987,1.1515
31,10003354,Fall Guys,3587,1.036
32,10000762,Marvel's Spider-Man,3574,1.0322
33,10002788,UFC® 5,3560,1.0282
34,10002313,The Crew Motorfest,3533,1.0204
35,216932,Brawlhalla,3420,0.9878
36,10000956,Gran Turismo® 7,3336,0.9635
37,10000229,ASTRO's PLAYROOM,3301,0.9534
38,200763,Call of Duty®: Black Ops III,2976,0.8595
39,10017657,Call of Duty®: Black Ops,2942,0.8497
40,10015762,Once Human,2893,0.8356
41,10014718,Halloween: The Game,2826,0.8162
42,10010647,Forza Horizon 5,2781,0.8032
43,10007176,EA SPORTS FC™ 24,2555,0.7379
44,10011247,UFC® 6,2471,0.7137
45,10004911,Mortal Kombat 1,2407,0.6952
46,10003610,ARC Raiders,2255,0.6513
47,10012463,EA SPORTS™ College Football 26,2232,0.6446
48,10000333,ELDEN RING,2170,0.6267
49,234567,Cyberpunk 2077,1989,0.5745
50,10001850,God of War Ragnarök,1959,0.5658
51,10000649,Marvel's Spider-Man: Miles Morales,1936,0.5592
52,10013165,Call of Duty®: Black Ops 6,1927,0.5566
53,216234,Gang Beasts,1861,0.5375
54,10013248,Onimusha: Way of the Sword,1834,0.5297
55,10009213,Ready or Not,1746,0.5043
56,10011027,Palworld,1673,0.4832
57,232374,Dying Light 2,1651,0.4768
