rank,title_id,title,players,percentage
1,228748,Fortnite,67160,24.1373
2,223118,Roblox,51474,18.4997
3,10011898,EA SPORTS FC™ 26,44665,16.0526
4,201930,Grand Theft Auto V,40104,14.4134
5,10017658,Call of Duty®: Black Ops II,28841,10.3654
6,203715,Rocket League®,26373,9.4784
7,10001130,Call of Duty®,25183,9.0508
8,10014149,NBA 2K26,19120,6.8717
9,212779,Minecraft,18482,6.6424
10,203897,Tom Clancy's Rainbow Six Siege,10507,3.7762
11,10010451,Marvel Rivals,9437,3.3917
12,10011645,Call of Duty®: Modern Warfare® III,8256,2.9672
13,10017657,Call of Duty®: Black Ops,7758,2.7882
14,232352,Apex Legends™,6755,2.4277
15,10009568,Battlefield™ 6,5444,1.9566
16,10012604,EA SPORTS™ Madden NFL 26,5338,1.9185
17,10016592,EA SPORTS™ College Football 27,5130,1.8437
18,10002427,eFootball™,5104,1.8344
19,209441,Red Dead Redemption 2,4815,1.7305
20,216627,Overwatch®,4705,1.691
21,10013987,Assassin's Creed Black Flag Resynced,4476,1.6087
22,10009762,EA SPORTS FC™ 25,4122,1.4814
23,10010048,VALORANT,3960,1.4232
24,227319,Dead by Daylight,3909,1.4049
25,10002456,Marvel's Spider-Man 2,3874,1.3923
26,10002788,UFC® 5,3809,1.369
27,10006353,skate.™,3636,1.3068
28,10015430,MLB® The Show™ 26,3473,1.2482
29,200763,Call of Duty®: Black Ops III,3283,1.1799
30,10011027,Palworld,3184,1.1443
31,10003354,Fall Guys,3099,1.1138
32,10000229,ASTRO's PLAYROOM,3021,1.0857
33,10002313,The Crew Motorfest,2998,1.0775
34,216932,Brawlhalla,2918,1.0487
35,10011247,UFC® 6,2678,0.9625
36,10000956,Gran Turismo® 7,2509,0.9017
37,10012463,EA SPORTS™ College Football 26,2471,0.8881
38,10010647,Forza Horizon 5,2407,0.8651
39,10003610,ARC Raiders,2297,0.8255
40,10007176,EA SPORTS FC™ 24,2218,0.7971
41,10004911,Mortal Kombat 1,2144,0.7706
42,234567,Cyberpunk 2077,1832,0.6584
43,221852,Destiny 2,1741,0.6257
44,10001850,God of War Ragnarök,1687,0.6063
45,216234,Gang Beasts,1589,0.5711
46,10000762,Marvel's Spider-Man,1514,0.5441
47,10009612,Farming Simulator 25,1491,0.5359
48,10010481,NBA 2K25,1467,0.5272
49,10003386,Rise of the Ronin™,1454,0.5226
50,10013165,Call of Duty®: Black Ops 6,1453,0.5222
51,10000657,HELLDIVERS™ 2,1380,0.496
52,10000333,ELDEN RING,1355,0.487
53,205342,Warframe,1327,0.4769
54,10007588,Stumble Guys,1305,0.469
55,10009297,Undisputed,1283,0.4611
56,235227,Ghost of Tsushima,1247,0.4482
57,235179,Avatar: Frontiers of Pandora™,1241,0.446
58,10007902,DRAGON BALL: Sparking! ZERO,1234,0.4435
59,10004336,EA SPORTS™ FIFA 23,1218,0.4377
60,10015300,WWE 2K26,1216,0.437
61,233072,Rust Console Edition,1210,0.4349
62,10000896,Genshin Impact,1171,0.4209
63,230079,The Last of Us™ Part II,1169,0.4201
64,231756,Mortal Kombat 11,1159,0.4165
65,10006560,007 First Light,1098,0.3946
66,10006270,TEKKEN 8,1094,0.3932
67,10009213,Ready or Not,1078,0.3874
68,10012874,NTE: Neverness to Everness,1065,0.3828
69,10002811,Among Us,1053,0.3784
70,10008048,Grounded PS4® & PS5®,1021,0.3669
71,233030,EA SPORTS™ UFC® 4,1013,0.3641
72,221694,For Honor,1012,0.3637
73,221850,DayZ,998,0.3587
74,10012851,NHL® 26,994,0.3572
75,10010992,Escape the Backrooms,983,0.3533
76,10003923,Ghost of Yōtei,983,0.3533
77,10000649,Marvel's Spider-Man: Miles Morales,967,0.3475
78,10008286,ARK: Survival Ascended,951,0.3418
79,231761,Diablo® IV,945,0.3396
80,205366,War Thunder,930,0.3342
81,10011830,F1® 25,924,0.3321
82,10003151,EA SPORTS™ College Football 25,917,0.3296
83,10002363,Crimson Desert,912,0.3278
84,10004473,Resident Evil 4,911,0.3274
85,10006873,THE FINALS,906,0.3256
86,10009763,Zenless Zone Zero,880,0.3163
87,233407,Call of Duty®: Black Ops Cold War,864,0.3105
88,234689,It Takes Two  PS4™ & PS5™,858,0.3084
89,10011349,REMATCH,838,0.3012
90,10010971,Call of Duty®: Modern Warfare® II,819,0.2943
91,10008972,PGA TOUR 2K25,817,0.2936
92,217012,DRAGON BALL XENOVERSE 2,812,0.2918
93,234659,Need for Speed™ Heat,812,0.2918
94,10008740,Asphalt Legends,807,0.29
95,10005673,Phasmophobia,800,0.2875
96,228857,The Sims™ 4,798,0.2868
97,10002684,ASTRO BOT,788,0.2832
98,229182,Call of Duty®: Modern Warfare®,777,0.2793
99,10015533,Resident Evil Requiem,765,0.2749
100,10001988,The Outlast Trials,756,0.2717
101,202943,Mortal Kombat X,744,0.2674
102,232447,Hogwarts Legacy,739,0.2656
103,232860,PUBG: BATTLEGROUNDS,717,0.2577
104,227770,God of War,713,0.2563
105,10010764,Wuthering Waves,712,0.2559
106,229601,Assassin's Creed® Odyssey,703,0.2527
107,10010877,ELDEN RING NIGHTREIGN,700,0.2516
108,232300,Call of Duty®: Black Ops 4,698,0.2509
109,10014058,Delta Force,641,0.2304
110,10002538,FIFA 22,638,0.2293
111,10002100,FINAL FANTASY XVI,637,0.2289
112,10001369,Cuphead,631,0.2268
113,10003330,"Warhammer 40,000: Space Marine 2",623,0.2239
114,229438,STAR WARS™ Battlefront™ II,617,0.2217
115,205354,UNCHARTED: Legacy of Thieves Collection,616,0.2214
116,10002357,MY HERO ULTRA RUMBLE,611,0.2196
117,10009326,EA SPORTS™ Madden NFL 25,598,0.2149
118,227552,ザ クルー2,598,0.2149
119,10002694,The Last of Us™ Part I,592,0.2128
120,10000459,Riders Republic™,574,0.2063
121,10005275,Honkai: Star Rail,573,0.2059
122,230955,The Elder Scrolls V: Skyrim Special Edition,572,0.2056
123,10009909,Assassin’s Creed Shadows,571,0.2052
124,10000237,Assassin's Creed Valhalla,570,0.2049
125,232391,Tom Clancy's The Division® 2,569,0.2045
126,10011213,MLB® The Show™ 25,565,0.2031
127,10000171,Share Factory Studio,561,0.2016
128,10008537,LEGO® Batman™: Legacy of the Dark Knight,530,0.1905
129,10001615,Street Fighter 6,524,0.1883
130,10005176,Monster Hunter Wilds,521,0.1872
131,10014720,The Seven Deadly Sins: Origin,521,0.1872
132,10007460,Baldur's Gate 3,518,0.1862
133,221727,Horizon Zero Dawn™,510,0.1833
134,10008755,SONIC X SHADOW GENERATIONS,508,0.1826
135,10010198,Arma Reforger,491,0.1765
136,200472,BATMAN™: ARKHAM KNIGHT,488,0.1754
137,228868,theHunter: Call of the Wild™,487,0.175
138,228720,Fishing Planet,477,0.1714
139,227139,Human Fall Flat,476,0.1711
140,10001269,Need for Speed™ Unbound,469,0.1686
141,10008651,MLB® The Show™ 24,458,0.1646
