rank,title_id,title,players,percentage
131,10000459,Riders Republic™,695,0.2127
132,10010764,Wuthering Waves,695,0.2127
133,10001369,Cuphead,694,0.2124
134,201511,Fallout 4,692,0.2118
135,233112,Tom Clancy’s Ghost Recon® Breakpoint,682,0.2087
136,10019078,No More Room in Hell 2,679,0.2078
137,204794,ウィッチャー３　ワイルドハント,667,0.2042
138,10009029,STAR WARS Zero Company™,665,0.2035
139,228868,theHunter: Call of the Wild™,665,0.2035
140,229438,STAR WARS™ Battlefront™ II,662,0.2026
141,10015961,FINAL FANTASY RESONANCE,649,0.1986
142,10000248,HITMAN World of Assassination,647,0.198
143,10010198,Arma Reforger,637,0.195
144,10000237,Assassin's Creed Valhalla,630,0.1928
145,217012,DRAGON BALL XENOVERSE 2,623,0.1907
146,10014058,Delta Force,621,0.1901
147,10003386,Rise of the Ronin™,621,0.1901
148,200472,BATMAN™: ARKHAM KNIGHT,619,0.1895
149,228638,The Last of Us™ Remastered,610,0.1867
150,229018,DAYS GONE,608,0.1861
151,10014720,The Seven Deadly Sins: Origin,606,0.1855
152,231761,Diablo® IV,598,0.183
153,10001615,Street Fighter 6,585,0.1791
154,10005275,Honkai: Star Rail,574,0.1757
155,10003362,Chained Echoes,565,0.1729
156,201129,Dying Light,558,0.1708
157,227447,NARUTO TO BORUTO: SHINOBI STRIKER,557,0.1705
158,10000161,CarX Drift Racing Online,555,0.1699
159,212870,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,555,0.1699
160,10001269,Need for Speed™ Unbound,549,0.168
161,231769,Metro Exodus,547,0.1674
162,10005051,Hell is Us,542,0.1659
163,10000819,Borderlands 4,534,0.1634
164,10011213,MLB® The Show™ 25,528,0.1616
165,227115,Call of Duty®: WWII,526,0.161
166,10013884,Halo: Campaign Evolved,524,0.1604
167,10000177,Sackboy: A Big Adventure,523,0.1601
168,10007638,DRAGONBALL GEKISHIN SQUADRA,519,0.1589
169,10003552,Grand Theft Auto: San Andreas – The Definitive Edition,519,0.1589
170,200520,Bloodborne™,518,0.1585
171,10005318,The First Descendant,517,0.1582
172,10008048,Grounded PS4® & PS5®,516,0.1579
173,10010458,Vampire Survivors,516,0.1579
174,221727,Horizon Zero Dawn™,513,0.157
175,10009909,Assassin’s Creed Shadows,504,0.1543
176,233961,FAR CRY®6,504,0.1543
177,216759,WATCH_DOGS® 2,501,0.1533
178,10009075,METAL GEAR SOLID: MASTER COLLECTION Vol.2,498,0.1524
179,228720,Fishing Planet,497,0.1521
180,10001481,Yu-Gi-Oh! MASTER DUEL,492,0.1506
181,10001988,The Outlast Trials,489,0.1497
182,227649,Crash Bandicoot N. Sane Trilogy,485,0.1484
183,10002100,FINAL FANTASY XVI,482,0.1475
184,235235,Resident Evil Village,482,0.1475
185,10008537,LEGO® Batman™: Legacy of the Dark Knight,462,0.1414
186,232248,Fallout 76,456,0.1396
187,10008651,MLB® The Show™ 24,455,0.1393
188,10008755,SONIC X SHADOW GENERATIONS,454,0.139
189,10010684,WWE 2K25,447,0.1368
190,232654,Hollow Knight,440,0.1347
191,10000899,Overcooked! All You Can Eat,438,0.1341
192,10000928,MX vs ATV Legends,437,0.1338
193,227139,Human Fall Flat,433,0.1325
194,10009205,Arknights: Endfield,432,0.1322
195,10004744,NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS,429,0.1313
196,221692,Far Cry® 5,416,0.1273
197,205080,Terraria – PlayStation®4 Edition,413,0.1264
198,231416,The Forest,411,0.1258
199,216064,Batman: Return to Arkham,406,0.1243
200,10003123,Goat Simulator 3,403,0.1233
201,10005449,Split Fiction,402,0.123
202,10002651,Disney Speedstorm,400,0.1224
203,10011142,Where Winds Meet (F2P),398,0.1218
204,232043,Stick Fight: The Game,396,0.1212
205,224802,ARK: Survival Evolved,395,0.1209
206,10017367,NHL® 27,394,0.1206
207,233410,Crash™ Team Racing Nitro-Fueled,393,0.1203
208,223086,Need for Speed™ Payback,393,0.1203
209,232796,World of Warships: Legends,391,0.1197
210,217611,3on3 Freestyle,390,0.1194
211,229500,RESIDENT EVIL 2,385,0.1178
212,10001771,Farming Simulator 22,383,0.1172
213,205353,Uncharted™: The Nathan Drake Collection,380,0.1163
214,225697,KINGDOM HEARTS - HD 1.5+2.5 ReMIX -,378,0.1157
215,10014519,Football Manager 26 Console,375,0.1148
216,227061,A Way Out,373,0.1142
217,221732,Injustice 2,366,0.112
218,10005323,Star Wars Outlaws,365,0.1117
219,10011463,Microsoft Flight Simulator 2024,363,0.1111
220,234568,FIFA 20,357,0.1093
221,10009245,SMITE 2,357,0.1093
222,203902,Rayman Legends,354,0.1084
223,10005529,SILENT HILL 2,354,0.1084
224,10003999,FINAL FANTASY VII REBIRTH,352,0.1077
225,10007978,WWE 2K24,352,0.1077
226,235302,Mafia: Definitive Edition,351,0.1074
227,221824,Battlefield™ 1,349,0.1068
228,203427,Plants vs Zombies GW2,349,0.1068
229,228726,DRAGON BALL FighterZ,345,0.1056
230,10004865,Assassin's Creed® Mirage,343,0.105
231,227137,FIFA 18,341,0.1044
232,227229,Stardew Valley,339,0.1038
233,221672,Call of Duty®: Infinite Warfare,338,0.1035
234,10000349,eFootball PES 2021 SEASON UPDATE,337,0.1031
235,10005844,Dragon's Dogma 2,336,0.1028
236,10013260,Crimson Moon,330,0.101
237,231776,FIFA 19,328,0.1004
238,10000278,FIFA 21,328,0.1004
239,10011588,My First Gran Turismo,328,0.1004
240,10002719,The Texas Chain Saw Massacre,327,0.1001
241,234762,Chivalry 2,326,0.0998
242,10008503,Clair Obscur: Expedition 33,326,0.0998
243,10005908,Hollow Knight: Silksong,320,0.0979
244,228618,God of War® III Remastered,318,0.0973
245,227410,Kingdom Come: Deliverance,318,0.0973
246,216600,No Man's Sky,316,0.0967
247,10008585,NEW MONOPOLY®,315,0.0964
248,10008884,Sea of Thieves,313,0.0958
249,10003910,Test Drive Unlimited Solar Crown,312,0.0955
250,227147,Insurgency: Sandstorm [PS4 & PS5],308,0.0943
251,10010334,Balatro,307,0.094
252,202493,LEGO® Marvel™ Super Heroes,307,0.094
253,202494,LEGO® MARVEL's Avengers,305,0.0934
254,234902,Assetto Corsa Competizione,304,0.093
255,10006239,Madden NFL 24,304,0.093
256,233202,Maneater,303,0.0927
257,234959,SnowRunner,301,0.0921
258,204584,The Binding of Isaac: Rebirth,299,0.0915
259,10007904,Teardown,297,0.0909
260,217373,UNO®,295,0.0903
261,231228,Descenders,291,0.0891
262,201579,FINAL FANTASY XIV Online,291,0.0891
263,222022,TEKKEN™7,290,0.0888
264,232898,Sekiro™: Shadows Die Twice,289,0.0885
265,204861,The Elder Scrolls Online,289,0.0885
266,10003763,Predecessor,286,0.0875
267,212581,World of Tanks Modern Armor,286,0.0875
268,10000886,Horizon Forbidden West,284,0.0869
269,10004708,TopSpin 2K25,284,0.0869
270,222727,Detroit: Become Human™,282,0.0863
271,10003551,Grand Theft Auto: Vice City – The Definitive Edition,281,0.086
272,231096,Hello Neighbor,280,0.0857
273,10006164,Red Dead Redemption,279,0.0854
274,10000264,Crash Bandicoot™ 4: It’s About Time,276,0.0845
275,10002474,Enlisted,274,0.0839
276,10001973,Sifu,272,0.0833
277,10005114,STAR WARS Jedi: Survivor™,272,0.0833
278,10008451,7 Days to Die - Console Edition,271,0.0829
279,10000663,POLICE SIMULATOR: PATROL OFFICERS,271,0.0829
280,10014010,Nioh 3,269,0.0823
281,10001917,CarX Street,264,0.0808
282,233235,DRAGON BALL Z: KAKAROT,262,0.0802
283,10000950,Path Of Titans,261,0.0799
284,230658,World War Z: Aftermath,259,0.0793
285,10007134,Mafia: The Old Country,258,0.079
286,10003641,Totally Accurate Battle Simulator,256,0.0784
287,10001996,Hell Let Loose,255,0.078
288,10003464,Maximum Football,255,0.078
289,201190,DARK SOULS™ III,252,0.0771
290,222066,Assassin's Creed® Origins,251,0.0768
291,10010602,Path of Exile 2,250,0.0765
292,10000669,Ratchet & Clank: Rift Apart,246,0.0753
293,201061,Dead Island 2,245,0.075
294,10000378,Minecraft Dungeons,240,0.0735
295,220037,RESIDENT EVIL 7 biohazard,237,0.0725
296,10008649,Mafia: Trilogy,236,0.0722
297,229261,Rec Room,236,0.0722
298,227326,Battlefield™ V,235,0.0719
299,228744,FINAL FANTASY VII REMAKE,232,0.071
300,232847,LEGO® Star Wars™: The Skywalker Saga,232,0.071
301,234363,Sniper Elite 5,231,0.0707
302,10001758,Trackmania®,229,0.0701
303,200088,Assassin's Creed® Unity,228,0.0698
304,10011468,Dying Light: The Beast,228,0.0698
305,201407,FIFA 17,227,0.0695
306,231363,MOBILE SUIT GUNDAM BATTLE OPERATION 2,223,0.0683
307,10012768,GOALS,222,0.0679
308,235061,Golf With Your Friends,221,0.0676
309,10007788,NBA 2K24,220,0.0673
310,205174,Fandango at Home,219,0.067
311,228785,Monster Hunter: World,217,0.0664
312,10014695,Aliens: Fireteam Elite 2,216,0.0661
313,10006070,Bluey: The Videogame,214,0.0655
314,216695,Middle-earth™: Shadow of War™,214,0.0655
315,228887,Undertale,214,0.0655
316,10008409,Firefighting Simulator: Ignite,212,0.0649
317,10003654,PowerWash Simulator,211,0.0646
318,10002771,Persona 5 Royal,209,0.064
319,227478,Borderlands 3,207,0.0634
320,10005570,Sonic Racing: CrossWorlds,207,0.0634
321,10006052,Lies of P,205,0.0627
322,10001538,DEATH STRANDING 2: ON THE BEACH,204,0.0624
323,233495,DELTARUNE,204,0.0624
324,235234,Trailmakers,202,0.0618
325,10001137,Five Nights at Freddy's: Security Breach,200,0.0612
326,10002848,Lords of the Fallen,200,0.0612
327,10014332,NASCAR 25,198,0.0606
328,200995,DC Universe Online,197,0.0603
329,10006008,F1® 23,196,0.06
330,200089,Assassin's Creed® IV Black Flag,195,0.0597
331,10000368,Demon's Souls,194,0.0594
332,10009660,Two Point Museum,194,0.0594
333,10014084,S.T.A.L.K.E.R. 2: Heart of Chornobyl,193,0.0591
334,10008874,F1® 24,192,0.0588
335,10009028,Poppy Playtime: Chapter 1,192,0.0588
336,232115,Resident Evil 5,192,0.0588
337,221661,ACE COMBAT™ 7: SKIES UNKNOWN,189,0.0578
338,212864,Need for Speed™,189,0.0578
339,10010263,"Warhammer 40,000: Darktide",189,0.0578
340,225519,Assassin's Creed The Ezio Collection,188,0.0575
341,215358,Gran Turismo™SPORT,188,0.0575
342,201624,Far Cry® 4,187,0.0572
343,205264,WATCH_DOGS™,185,0.0566
344,10004836,NBA 2K23,184,0.0563
345,10006452,Pool Blitz,184,0.0563
346,232345,STAR WARS Jedi: Fallen Order™,184,0.0563
347,232176,Spyro™ Reignited Trilogy,183,0.056
348,234665,Marvel's Guardians of the Galaxy,181,0.0554
349,233621,Mount & Blade II: Bannerlord,181,0.0554
350,209904,Prominence Poker,181,0.0554
351,10006891,Stellar Blade™,179,0.0548
352,10002466,Disney Dreamlight Valley,178,0.0545
353,10001555,Persona 3 Reload,178,0.0545
354,234585,DEATH STRANDING™,176,0.0539
355,10007897,Until Dawn™,176,0.0539
356,232116,Resident Evil 6,175,0.0536
357,228783,LEGO® MARVEL Super Heroes 2,174,0.0533
358,10013838,Rugby League 26,173,0.053
359,202819,MLB,172,0.0526
360,221941,Call of Duty®: Modern Warfare® Remastered,171,0.0523
361,227252,Wreckfest,169,0.0517
362,10017920,Gladio Mori,168,0.0514
363,232581,Watch Dogs: Legion,168,0.0514
364,221813,Titanfall™ 2,166,0.0508
365,201634,Far Cry® Primal,165,0.0505
366,10007263,PAYDAY 3,165,0.0505
367,10004258,EA SPORTS™ WRC,163,0.0499
368,10019710,Onimusha: Dawn of Dreams,163,0.0499
369,233374,eFootball PES 2020,162,0.0496
370,10002577,Jurassic World Evolution 2,162,0.0496
371,10000758,Battlefield™ 2042,160,0.049
372,10020059,Buffet Boss,160,0.049
373,10007312,Deceit 2,160,0.049
374,10015413,Resonance: A Plague Tale Legacy,160,0.049
375,10012067,Jurassic World Evolution 3,159,0.0487
376,10008091,Nickelodeon All-Star Brawl 2,159,0.0487
377,212740,Tomb Raider: Definitive Edition,158,0.0484
378,224832,EA SPORTS™ UFC® 3,155,0.0474
379,10003550,Grand Theft Auto III – The Definitive Edition,155,0.0474
380,234014,HUNT: SHOWDOWN 1896,154,0.0471
381,10001114,Stray,153,0.0468
382,10002097,Bleach: Brave Souls Anime Game,152,0.0465
383,10000438,Construction Simulator,152,0.0465
384,233069,RESIDENT EVIL 3,152,0.0465
385,10002065,Alan Wake 2,151,0.0462
386,227315,Devil May Cry 5 Series,151,0.0462
387,10005853,WUCHANG: Fallen Feathers,151,0.0462
388,10008864,Marathon,150,0.0459
389,10011934,Starfield,150,0.0459
390,215282,Borderlands: The Handsome Collection,149,0.0456
391,10002958,Dead Space,149,0.0456
392,10008829,Gears of War: Reloaded,149,0.0456
393,235037,Rogue Company,149,0.0456
394,10001967,Car Mechanic Simulator 2021,148,0.0453
395,227108,Crossout,148,0.0453
396,200449,Battlefield 4™,147,0.045
397,10000781,Need for Speed™ Hot Pursuit Remastered,147,0.045
398,10008540,Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles 2,146,0.0447
399,232120,Resident Evil Revelations 2,146,0.0447
400,232883,Subnautica,146,0.0447
401,229482,DARK SOULS™: REMASTERED,145,0.0444
402,10009984,DOOM: The Dark Ages,144,0.0441
403,232114,resident evil 4 (2005),144,0.0441
404,231844,Shadow of the Tomb Raider,144,0.0441
405,10003285,PGA TOUR 2K23,143,0.0438
406,231944,LEGO® DC Super-Villains,141,0.0432
407,10017212,Mistfall Hunter,141,0.0432
408,10000988,My Videos,141,0.0432
409,232519,Stranded Deep,141,0.0432
410,10010865,The Lord of the Rings: War in the North™ - Legacy Edition,141,0.0432
411,10000974,THE PLAYROOM,141,0.0432
412,229433,Call of Duty®: Modern Warfare® 2 Campaign Remastered,138,0.0422
413,10014968,Content Warning,137,0.0419
414,229066,Granblue Fantasy: Relink,137,0.0419
415,10008971,Off The Grid - Early Access,137,0.0419
416,10013259,Dispatch,136,0.0416
417,203064,Need for Speed™ Rivals,136,0.0416
418,221750,Rise of the Tomb Raider,136,0.0416
419,10001858,Crusader Kings III,135,0.0413
420,208810,KINGDOM HEARTS Ⅲ,135,0.0413
421,10017040,Waterpark Simulator,135,0.0413
422,231121,Overcooked 2,134,0.041
423,10005369,SIGNALIS,133,0.0407
424,233064,Back 4 Blood,132,0.0404
425,10009198,Mighty Morphin Power Rangers: Rita's Rewind,132,0.0404
426,10006500,NHL® 24,130,0.0398
427,10002075,PRAGMATA,130,0.0398
428,233032,Black Desert,128,0.0392
429,202496,LEGO® Batman™ 3: Beyond Gotham,128,0.0392
430,10005069,SAROS,128,0.0392
431,10001710,BLEACH Rebirth of Souls,126,0.0386
432,233119,Castle Crashers Remastered,126,0.0386
433,10002630,The Binding of Isaac: Repentance,126,0.0386
434,202450,LEGO® Jurassic World™,125,0.0383
435,233251,Bus Simulator 21 Next Stop,124,0.038
436,231819,Control,124,0.038
437,232624,DOOM Eternal,124,0.038
438,10007293,METAL GEAR SOLID Δ: SNAKE EATER,124,0.038
439,10010248,The Elder Scrolls IV: Oblivion Remastered,124,0.038
440,10018989,Avatar Legends: The Fighting Game,123,0.0376
441,10010999,REANIMAL,123,0.0376
442,201957,Grand Theft Auto: San Andreas,122,0.0373
443,10013888,Stupid Never Dies,122,0.0373
444,10001609,Suicide Squad: Kill the Justice League,122,0.0373
445,10001234,Call of Duty®: Vanguard,121,0.037
446,231486,Far Cry® 3 Classic Edition,120,0.0367
447,10012871,FragPunk,120,0.0367
448,202138,inFAMOUS™ Second Son,120,0.0367
449,212339,Assassin's Creed® Syndicate,119,0.0364
450,234770,Mafia II: Definitive Edition,119,0.0364
451,10009610,Planet Coaster 2,119,0.0364
452,234658,Plants vs. Zombies: Battle for Neighborville™,119,0.0364
453,10005841,2XKO,118,0.0361
454,233383,Gotham Knights,118,0.0361
455,231840,HITMAN™ 2,117,0.0358
456,10009268,NHL® 25,117,0.0358
457,234386,Risk of Rain 2,117,0.0358
458,232589,Vigor,117,0.0358
459,224821,Cities: Skylines,116,0.0355
460,232437,DiRT Rally 2.0,116,0.0355
461,10004937,Disney•Pixar Toy Story 3,116,0.0355
462,10007607,METAL GEAR SOLID: MASTER COLLECTION Vol. 1,116,0.0355
463,223683,LEGO®  Harry Potter™ Collection,115,0.0352
464,10010023,Party Animals,115,0.0352
465,204236,Street Fighter V,115,0.0352
466,200759,Call of Duty® Ghosts,113,0.0346
467,10007566,PlateUp!,113,0.0346
468,10000176,Returnal,113,0.0346
469,10000039,Untitled Goose Game,113,0.0346
470,233219,CAPTAIN TSUBASA: RISE OF NEW CHAMPIONS,110,0.0337
471,10001789,EA SPORTS™ PGA TOUR™,110,0.0337
472,216395,Sniper Elite 4,110,0.0337
473,10011105,The Exit 8,110,0.0337
474,10004123,The Quarry,110,0.0337
475,10005250,Monster Hunter Rise,108,0.0331
476,10002042,Saints Row,108,0.0331
477,227227,Sonic Mania,108,0.0331
478,221765,STEEP,108,0.0331
479,232009,Devil May Cry HD Collection,107,0.0328
480,232717,JUMP FORCE,105,0.0321
481,10007550,Mediaset Infinity,105,0.0321
482,225857,SHADOW OF THE COLOSSUS™,105,0.0321
483,10004116,Wo Long: Fallen Dynasty,105,0.0321
484,10000309,Diablo® II: Resurrected™,104,0.0318
485,10010939,Wizard101,104,0.0318
486,10010001,Palia,103,0.0315
487,10009803,Slime Rancher 2,102,0.0312
488,211297,SMITE,102,0.0312
489,10005744,MLB® The Show™ 23,101,0.0309
490,235168,Tony Hawk's™ Pro Skater™ 1 + 2,101,0.0309
491,10015041,Backrooms: Escape Together,100,0.0306
492,10004484,Cult of the Lamb,100,0.0306
493,234566,The Walking Dead: The Telltale Definitive Series,100,0.0306
494,10004982,WRC Generations – The FIA WRC Official Game,100,0.0306
495,10014719,Beast of Reincarnation,99,0.0303
496,227578,PRO EVOLUTION SOCCER 2018,99,0.0303
497,232068,PRO EVOLUTION SOCCER 2019,99,0.0303
498,10009602,Raft,99,0.0303
499,10001852,WOW,99,0.0303
500,10007961,High On Life,98,0.03
501,10000606,Mass Effect™ Legendary Edition,98,0.03
502,231053,Dead Cells,97,0.0297
503,10005765,HOT WHEELS UNLEASHED™ 2 - Turbocharged,97,0.0297
504,234628,ONE PIECE: PIRATE WARRIORS 4,97,0.0297
505,231261,Conan Exiles,96,0.0294
506,10011861,Digimon Story Time Stranger,96,0.0294
507,231856,Assassin's Creed® III Remastered,95,0.0291
508,10007669,Gorilla Tag,95,0.0291
509,226237,DARK SOULS™ II: Scholar of the First Sin,94,0.0288
510,10008183,Life is Strange: Double Exposure,94,0.0288
511,10005267,WWE 2K23,94,0.0288
512,10018449,Hades II,93,0.0285
513,10001302,JoJo's Bizarre Adventure: All-Star Battle R,93,0.0285
514,202765,Mad Max,93,0.0285
515,10005670,PAW Patrol World,93,0.0285
516,10018882,Poppy Playtime: Chapter 5,93,0.0285
517,10008447,Satisfactory,93,0.0285
518,10007264,Blasphemous 2,92,0.0282
519,10017626,eBaseball™: PRO SPIRIT,92,0.0282
520,10011314,PowerWash Simulator 2,92,0.0282
521,10002956,Sonic Frontiers PS4 & PS5,92,0.0282
