rank,title_id,title,players,percentage
1,228748,Fortnite,76536,26.8557
2,223118,Roblox,63362,22.2331
3,201930,Grand Theft Auto V,35883,12.591
4,10011898,EA SPORTS FC™ 26,35429,12.4317
5,10001130,Call of Duty®,30924,10.8509
6,203715,Rocket League®,30907,10.8449
7,10014149,NBA 2K26,20524,7.2017
8,212779,Minecraft,18415,6.4616
9,203897,Tom Clancy's Rainbow Six Siege,12856,4.511
10,10010451,Marvel Rivals,10123,3.5521
11,232352,Apex Legends™,7922,2.7797
12,216627,Overwatch®,6655,2.3352
13,10012604,EA SPORTS™ Madden NFL 26,6290,2.2071
14,227319,Dead by Daylight,5628,1.9748
15,209441,Red Dead Redemption 2,5507,1.9323
16,10009568,Battlefield™ 6,5485,1.9246
17,10002427,eFootball™,5217,1.8306
18,10015430,MLB® The Show™ 26,4209,1.4769
19,10010048,VALORANT,4202,1.4744
20,10006353,skate.™,4127,1.4481
21,10012463,EA SPORTS™ College Football 26,4112,1.4429
22,10002788,UFC® 5,4014,1.4085
23,10002456,Marvel's Spider-Man 2,3941,1.3829
24,10003354,Fall Guys,3468,1.2169
25,10009762,EA SPORTS FC™ 25,3432,1.2043
26,216932,Brawlhalla,3416,1.1986
27,10002313,The Crew Motorfest,3375,1.1843
28,10008048,Grounded PS4® & PS5®,3027,1.0621
29,10003610,ARC Raiders,2880,1.0106
30,10011247,UFC® 6,2840,0.9965
31,10010647,Forza Horizon 5,2718,0.9537
32,221852,Destiny 2,2673,0.9379
33,10004911,Mortal Kombat 1,2552,0.8955
34,200763,Call of Duty®: Black Ops III,2540,0.8913
35,10000956,Gran Turismo® 7,2110,0.7404
36,10001850,God of War Ragnarök,1947,0.6832
37,10009612,Farming Simulator 25,1787,0.627
38,10000657,HELLDIVERS™ 2,1780,0.6246
39,234567,Cyberpunk 2077,1770,0.6211
40,10010992,Escape the Backrooms,1753,0.6151
41,233072,Rust Console Edition,1727,0.606
42,10000229,ASTRO's PLAYROOM,1725,0.6053
43,205342,Warframe,1656,0.5811
44,10010481,NBA 2K25,1599,0.5611
45,216234,Gang Beasts,1488,0.5221
46,10006560,007 First Light,1467,0.5148
47,10000333,ELDEN RING,1406,0.4934
48,10009297,Undisputed,1402,0.4919
49,10000896,Genshin Impact,1391,0.4881
50,10007176,EA SPORTS FC™ 24,1348,0.473
51,10000762,Marvel's Spider-Man,1295,0.4544
52,10007588,Stumble Guys,1281,0.4495
53,10008286,ARK: Survival Ascended,1263,0.4432
54,10015300,WWE 2K26,1258,0.4414
55,10002363,Crimson Desert,1256,0.4407
56,10010263,"Warhammer 40,000: Darktide",1252,0.4393
57,10012874,NTE: Neverness to Everness,1223,0.4291
58,10011645,Call of Duty®: Modern Warfare® III,1198,0.4204
59,231756,Mortal Kombat 11,1197,0.42
60,10009213,Ready or Not,1180,0.414
61,205366,War Thunder,1160,0.407
62,221694,For Honor,1158,0.4063
63,230079,The Last of Us™ Part II,1153,0.4046
64,10007902,DRAGON BALL: Sparking! ZERO,1108,0.3888
65,10002811,Among Us,1098,0.3853
66,235227,Ghost of Tsushima,1070,0.3755
