rank,title_id,title,players,percentage
1,228748,Fortnite,92321,28.3161
2,223118,Roblox,66356,20.3523
3,10011898,EA SPORTS FC™ 26,45426,13.9328
4,203715,Rocket League®,36091,11.0696
5,201930,Grand Theft Auto V,36023,11.0487
6,10001130,Call of Duty®,28344,8.6935
7,212779,Minecraft,22101,6.7787
8,10018502,NBA 2K27,16380,5.024
9,203897,Tom Clancy's Rainbow Six Siege,15377,4.7163
10,10017332,EA SPORTS FC™ 27,13257,4.0661
11,10010451,Marvel Rivals,11553,3.5435
12,10002861,Marvel’s Wolverine,10000,3.0671
13,10017658,Call of Duty®: Black Ops II,8888,2.7261
14,232352,Apex Legends™,8711,2.6718
15,10014149,NBA 2K26,8251,2.5307
16,216627,Overwatch®,7264,2.228
17,10002427,eFootball™,7005,2.1485
18,209441,Red Dead Redemption 2,6495,1.9921
19,10002456,Marvel's Spider-Man 2,6286,1.928
20,10015430,MLB® The Show™ 26,6100,1.871
21,10009568,Battlefield™ 6,5993,1.8381
22,10016736,EA SPORTS™ Madden NFL 27,5911,1.813
23,10006353,skate.™,5822,1.7857
24,10016592,EA SPORTS™ College Football 27,5472,1.6783
25,10010048,VALORANT,4914,1.5072
26,10009762,EA SPORTS FC™ 25,4837,1.4836
27,10011645,Call of Duty®: Modern Warfare® III,4070,1.2483
28,10015300,WWE 2K26,3898,1.1956
29,10000657,HELLDIVERS™ 2,3805,1.167
30,10014718,Halloween: The Game,3782,1.16
31,10002313,The Crew Motorfest,3779,1.1591
32,10012604,EA SPORTS™ Madden NFL 26,3773,1.1572
33,10018491,Aniimo,3610,1.1072
34,227319,Dead by Daylight,3602,1.1048
35,10002788,UFC® 5,3445,1.0566
36,216932,Brawlhalla,3341,1.0247
37,10017405,RuneScape: Dragonwilds,3272,1.0036
38,10000956,Gran Turismo® 7,3257,0.999
39,10003354,Fall Guys,3213,0.9855
40,10000229,ASTRO's PLAYROOM,2989,0.9168
41,10000762,Marvel's Spider-Man,2921,0.8959
42,10010647,Forza Horizon 5,2910,0.8925
43,10008716,Sniper Elite: Resistance,2871,0.8806
44,200763,Call of Duty®: Black Ops III,2768,0.849
45,10007176,EA SPORTS FC™ 24,2641,0.81
46,10017657,Call of Duty®: Black Ops,2613,0.8014
47,10011247,UFC® 6,2606,0.7993
48,10004896,Wobbly Life,2558,0.7846
49,10012463,EA SPORTS™ College Football 26,2361,0.7242
50,10003610,ARC Raiders,2191,0.672
51,10004911,Mortal Kombat 1,2132,0.6539
52,10013165,Call of Duty®: Black Ops 6,2075,0.6364
53,10015762,Once Human,2004,0.6147
54,234567,Cyberpunk 2077,1929,0.5917
55,10000333,ELDEN RING,1824,0.5594
56,10001850,God of War Ragnarök,1804,0.5533
57,10013248,Onimusha: Way of the Sword,1690,0.5183
58,205366,War Thunder,1565,0.48
59,10000896,Genshin Impact,1564,0.4797
60,10000649,Marvel's Spider-Man: Miles Morales,1549,0.4751
61,216234,Gang Beasts,1533,0.4702
62,230079,The Last of Us™ Part II,1531,0.4696
63,235227,Ghost of Tsushima,1478,0.4533
64,231756,Mortal Kombat 11,1478,0.4533
