# 2026-08-30 22:18:13 ; Found 56476 viable session entries from 35625 unique users.
rank,title_id,title,players,percentage
1,228748,Fortnite,6836,19.1888
2,223118,Roblox,4814,13.513
3,10011898,EA SPORTS FC™ 26,4126,11.5818
4,201930,Grand Theft Auto V,2669,7.4919
5,203715,Rocket League®,2352,6.6021
6,10001130,Call of Duty®,2241,6.2905
7,10014149,NBA 2K26,1591,4.466
8,212779,Minecraft,1568,4.4014
9,10017658,Call of Duty®: Black Ops II,1475,4.1404
10,203897,Tom Clancy's Rainbow Six Siege,1030,2.8912
11,10010451,Marvel Rivals,925,2.5965
12,10002456,Marvel's Spider-Man 2,817,2.2933
13,232352,Apex Legends™,737,2.0688
14,10016592,EA SPORTS™ College Football 27,478,1.3418
15,216627,Overwatch®,469,1.3165
16,10009568,Battlefield™ 6,436,1.2239
17,10002427,eFootball™,423,1.1874
18,10017657,Call of Duty®: Black Ops,409,1.1481
19,10017189,Big Walk,403,1.1312
20,10011645,Call of Duty®: Modern Warfare® III,402,1.1284
21,10012604,EA SPORTS™ Madden NFL 26,401,1.1256
22,209441,Red Dead Redemption 2,363,1.0189
23,10010048,VALORANT,347,0.974
24,227319,Dead by Daylight,346,0.9712
25,10015430,MLB® The Show™ 26,321,0.9011
26,10000762,Marvel's Spider-Man,318,0.8926
27,10016736,EA SPORTS™ Madden NFL 27,316,0.887
28,10009762,EA SPORTS FC™ 25,310,0.8702
29,10006353,skate.™,291,0.8168
30,232374,Dying Light 2,287,0.8056
31,10011027,Palworld,269,0.7551
32,10002788,UFC® 5,268,0.7523
33,216932,Brawlhalla,252,0.7074
34,200763,Call of Duty®: Black Ops III,247,0.6933
35,10000229,ASTRO's PLAYROOM,239,0.6709
36,10002313,The Crew Motorfest,232,0.6512
37,10013987,Assassin's Creed Black Flag Resynced,229,0.6428
38,10003354,Fall Guys,227,0.6372
39,10011247,UFC® 6,222,0.6232
40,10000956,Gran Turismo® 7,214,0.6007
41,10010647,Forza Horizon 5,207,0.5811
42,10012463,EA SPORTS™ College Football 26,188,0.5277
43,10008019,MARVEL Tōkon: Fighting Souls,186,0.5221
44,10003610,ARC Raiders,181,0.5081
45,201697,Tom Clancy's Ghost Recon® Wildlands,172,0.4828
46,10004911,Mortal Kombat 1,165,0.4632
47,10007176,EA SPORTS FC™ 24,157,0.4407
48,10013165,Call of Duty®: Black Ops 6,151,0.4239
49,10000649,Marvel's Spider-Man: Miles Morales,148,0.4154
50,234567,Cyberpunk 2077,141,0.3958
51,10015300,WWE 2K26,140,0.393
52,216234,Gang Beasts,137,0.3846
53,10001850,God of War Ragnarök,137,0.3846
54,10007902,DRAGON BALL: Sparking! ZERO,132,0.3705
55,10000333,ELDEN RING,128,0.3593
56,221852,Destiny 2,127,0.3565
57,10000657,HELLDIVERS™ 2,121,0.3396
58,233072,Rust Console Edition,120,0.3368
59,10009612,Farming Simulator 25,110,0.3088
60,10009763,Zenless Zone Zero,108,0.3032
61,230079,The Last of Us™ Part II,106,0.2975
62,205342,Warframe,105,0.2947
63,10010481,NBA 2K25,103,0.2891
64,235227,Ghost of Tsushima,98,0.2751
65,221694,For Honor,94,0.2639
66,10009213,Ready or Not,89,0.2498
67,205366,War Thunder,88,0.247
68,10007588,Stumble Guys,87,0.2442
69,235179,Avatar: Frontiers of Pandora™,85,0.2386
70,10009297,Undisputed,85,0.2386
71,10004336,EA SPORTS™ FIFA 23,82,0.2302
72,10002811,Among Us,81,0.2274
73,10003923,Ghost of Yōtei,80,0.2246
74,10013884,Halo: Campaign Evolved,80,0.2246
75,10012851,NHL® 26,78,0.2189
76,229601,Assassin's Creed® Odyssey,76,0.2133
77,10010971,Call of Duty®: Modern Warfare® II,76,0.2133
78,10004473,Resident Evil 4,76,0.2133
79,10006270,TEKKEN 8,76,0.2133
80,10008286,ARK: Survival Ascended,75,0.2105
81,10011830,F1® 25,74,0.2077
82,10000896,Genshin Impact,74,0.2077
83,10008740,Asphalt Legends,73,0.2049
84,10007460,Baldur's Gate 3,73,0.2049
85,10003330,"Warhammer 40,000: Space Marine 2",72,0.2021
86,10008972,PGA TOUR 2K25,71,0.1993
87,10011349,REMATCH,70,0.1965
88,234659,Need for Speed™ Heat,69,0.1937
89,10006560,007 First Light,68,0.1909
90,10006873,THE FINALS,68,0.1909
91,233030,EA SPORTS™ UFC® 4,67,0.1881
92,10012874,NTE: Neverness to Everness,67,0.1881
93,221850,DayZ,66,0.1853
94,232860,PUBG: BATTLEGROUNDS,66,0.1853
95,10003386,Rise of the Ronin™,66,0.1853
96,10010992,Escape the Backrooms,65,0.1825
97,10010764,Wuthering Waves,65,0.1825
98,10002363,Crimson Desert,64,0.1796
99,231756,Mortal Kombat 11,64,0.1796
100,10008048,Grounded PS4® & PS5®,62,0.174
101,10005673,Phasmophobia,62,0.174
102,233112,Tom Clancy’s Ghost Recon® Breakpoint,62,0.174
103,10002684,ASTRO BOT,61,0.1712
104,233407,Call of Duty®: Black Ops Cold War,61,0.1712
105,10010877,ELDEN RING NIGHTREIGN,61,0.1712
106,232447,Hogwarts Legacy,59,0.1656
107,230955,The Elder Scrolls V: Skyrim Special Edition,59,0.1656
108,201129,Dying Light,58,0.1628
109,10000459,Riders Republic™,58,0.1628
110,10010198,Arma Reforger,57,0.16
111,10003151,EA SPORTS™ College Football 25,56,0.1572
112,10002357,MY HERO ULTRA RUMBLE,56,0.1572
113,10000161,CarX Drift Racing Online,55,0.1544
114,10011213,MLB® The Show™ 25,55,0.1544
115,228857,The Sims™ 4,55,0.1544
116,232300,Call of Duty®: Black Ops 4,53,0.1488
117,231761,Diablo® IV,53,0.1488
118,227770,God of War,53,0.1488
119,10008537,LEGO® Batman™: Legacy of the Dark Knight,52,0.146
120,229438,STAR WARS™ Battlefront™ II,52,0.146
121,10002694,The Last of Us™ Part I,52,0.146
122,10001369,Cuphead,50,0.1404
123,232391,Tom Clancy's The Division® 2,49,0.1375
124,10015533,Resident Evil Requiem,48,0.1347
125,10005176,Monster Hunter Wilds,47,0.1319
126,10000237,Assassin's Creed Valhalla,46,0.1291
127,229018,DAYS GONE,46,0.1291
128,217012,DRAGON BALL XENOVERSE 2,46,0.1291
129,10009326,EA SPORTS™ Madden NFL 25,46,0.1291
130,10002538,FIFA 22,46,0.1291
131,201511,Fallout 4,45,0.1263
132,10001615,Street Fighter 6,45,0.1263
133,10014720,The Seven Deadly Sins: Origin,45,0.1263
134,205354,UNCHARTED: Legacy of Thieves Collection,45,0.1263
