# 2026-08-30 22:20:01 ; Found 100157 viable session entries from 62721 unique users.
rank,title_id,title,players,percentage
1,228748,Fortnite,12632,20.14
2,223118,Roblox,8703,13.8757
3,10011898,EA SPORTS FC™ 26,7246,11.5527
4,201930,Grand Theft Auto V,4419,7.0455
5,203715,Rocket League®,4135,6.5927
6,10001130,Call of Duty®,4026,6.4189
7,212779,Minecraft,2803,4.469
8,10014149,NBA 2K26,2778,4.4291
9,10017658,Call of Duty®: Black Ops II,2106,3.3577
10,203897,Tom Clancy's Rainbow Six Siege,1958,3.1218
11,10010451,Marvel Rivals,1737,2.7694
12,10002456,Marvel's Spider-Man 2,1498,2.3884
13,232352,Apex Legends™,1154,1.8399
14,10000657,HELLDIVERS™ 2,910,1.4509
15,216627,Overwatch®,899,1.4333
16,10009568,Battlefield™ 6,826,1.3169
17,10016592,EA SPORTS™ College Football 27,826,1.3169
18,10016736,EA SPORTS™ Madden NFL 27,823,1.3122
19,10002427,eFootball™,823,1.3122
20,10011645,Call of Duty®: Modern Warfare® III,689,1.0985
21,10012604,EA SPORTS™ Madden NFL 26,665,1.0603
22,10010048,VALORANT,647,1.0316
23,209441,Red Dead Redemption 2,625,0.9965
24,10017657,Call of Duty®: Black Ops,590,0.9407
25,227319,Dead by Daylight,583,0.9295
26,10000762,Marvel's Spider-Man,557,0.8881
27,10017189,Big Walk,545,0.8689
28,10009762,EA SPORTS FC™ 25,537,0.8562
29,10002788,UFC® 5,518,0.8259
30,10015430,MLB® The Show™ 26,495,0.7892
31,200763,Call of Duty®: Black Ops III,450,0.7175
32,10006353,skate.™,450,0.7175
33,10011027,Palworld,425,0.6776
34,232374,Dying Light 2,416,0.6633
35,10000956,Gran Turismo® 7,403,0.6425
36,10011247,UFC® 6,399,0.6362
37,10003354,Fall Guys,398,0.6346
38,10002313,The Crew Motorfest,385,0.6138
39,10003610,ARC Raiders,369,0.5883
40,216932,Brawlhalla,364,0.5803
41,10000229,ASTRO's PLAYROOM,342,0.5453
42,10010647,Forza Horizon 5,325,0.5182
43,10013987,Assassin's Creed Black Flag Resynced,324,0.5166
44,10012463,EA SPORTS™ College Football 26,309,0.4927
45,10000649,Marvel's Spider-Man: Miles Morales,289,0.4608
46,10004911,Mortal Kombat 1,272,0.4337
47,10007176,EA SPORTS FC™ 24,258,0.4113
48,10000896,Genshin Impact,258,0.4113
49,201697,Tom Clancy's Ghost Recon® Wildlands,256,0.4082
50,10013165,Call of Duty®: Black Ops 6,253,0.4034
51,10007902,DRAGON BALL: Sparking! ZERO,244,0.389
52,10019078,No More Room in Hell 2,233,0.3715
53,10001850,God of War Ragnarök,227,0.3619
54,10008019,MARVEL Tōkon: Fighting Souls,222,0.3539
55,234567,Cyberpunk 2077,210,0.3348
56,10009612,Farming Simulator 25,206,0.3284
57,10015300,WWE 2K26,206,0.3284
58,205342,Warframe,202,0.3221
59,216234,Gang Beasts,193,0.3077
60,10000333,ELDEN RING,192,0.3061
61,233072,Rust Console Edition,190,0.3029
62,230079,The Last of Us™ Part II,189,0.3013
63,10003923,Ghost of Yōtei,188,0.2997
64,221852,Destiny 2,187,0.2981
65,10016651,Grounded 2,181,0.2886
66,221694,For Honor,178,0.2838
67,235227,Ghost of Tsushima,175,0.279
68,10009763,Zenless Zone Zero,175,0.279
69,10014425,Hell Let Loose: Vietnam,172,0.2742
70,10010481,NBA 2K25,165,0.2631
71,10006270,TEKKEN 8,165,0.2631
72,10009213,Ready or Not,158,0.2519
73,205366,War Thunder,158,0.2519
74,10009297,Undisputed,155,0.2471
75,231756,Mortal Kombat 11,150,0.2392
76,221850,DayZ,149,0.2376
77,229601,Assassin's Creed® Odyssey,145,0.2312
78,10011830,F1® 25,145,0.2312
79,235179,Avatar: Frontiers of Pandora™,142,0.2264
80,10012851,NHL® 26,142,0.2264
