# 2026-08-30 22:16:49 ; Found 53064 viable session entries from 33221 unique users.
rank,title_id,title,players,percentage
1,228748,Fortnite,6389,19.2318
2,223118,Roblox,4653,14.0062
3,10011898,EA SPORTS FC™ 26,4063,12.2302
4,201930,Grand Theft Auto V,2566,7.724
5,203715,Rocket League®,2196,6.6103
6,10001130,Call of Duty®,2072,6.237
7,10017658,Call of Duty®: Black Ops II,1648,4.9607
8,10014149,NBA 2K26,1557,4.6868
9,212779,Minecraft,1361,4.0968
10,203897,Tom Clancy's Rainbow Six Siege,954,2.8717
11,10010451,Marvel Rivals,883,2.658
12,232352,Apex Legends™,666,2.0048
13,10002456,Marvel's Spider-Man 2,647,1.9476
14,10016592,EA SPORTS™ College Football 27,516,1.5532
15,10011645,Call of Duty®: Modern Warfare® III,501,1.5081
16,10017657,Call of Duty®: Black Ops,469,1.4118
17,10012604,EA SPORTS™ Madden NFL 26,461,1.3877
18,10009568,Battlefield™ 6,428,1.2883
19,216627,Overwatch®,391,1.177
20,10002427,eFootball™,390,1.174
21,10015430,MLB® The Show™ 26,381,1.1469
22,209441,Red Dead Redemption 2,354,1.0656
23,10010048,VALORANT,344,1.0355
24,10017189,Big Walk,335,1.0084
25,227319,Dead by Daylight,319,0.9602
26,10009762,EA SPORTS FC™ 25,312,0.9392
27,10011027,Palworld,287,0.8639
28,10002788,UFC® 5,281,0.8459
29,200763,Call of Duty®: Black Ops III,276,0.8308
30,10013987,Assassin's Creed Black Flag Resynced,246,0.7405
31,10006353,skate.™,243,0.7315
32,232374,Dying Light 2,240,0.7224
33,10000762,Marvel's Spider-Man,234,0.7044
34,10003354,Fall Guys,231,0.6953
35,10011247,UFC® 6,223,0.6713
36,216932,Brawlhalla,206,0.6201
37,10000229,ASTRO's PLAYROOM,201,0.605
38,10000956,Gran Turismo® 7,189,0.5689
39,10002313,The Crew Motorfest,189,0.5689
40,10007902,DRAGON BALL: Sparking! ZERO,179,0.5388
41,10012463,EA SPORTS™ College Football 26,176,0.5298
42,10010647,Forza Horizon 5,176,0.5298
43,10003610,ARC Raiders,169,0.5087
44,10007176,EA SPORTS FC™ 24,147,0.4425
45,10015300,WWE 2K26,136,0.4094
46,10004911,Mortal Kombat 1,134,0.4034
47,10013165,Call of Duty®: Black Ops 6,133,0.4003
48,216234,Gang Beasts,132,0.3973
49,10000657,HELLDIVERS™ 2,127,0.3823
50,10000649,Marvel's Spider-Man: Miles Morales,127,0.3823
51,10013884,Halo: Campaign Evolved,118,0.3552
52,221852,Destiny 2,116,0.3492
53,10000896,Genshin Impact,115,0.3462
54,10009612,Farming Simulator 25,111,0.3341
55,233072,Rust Console Edition,110,0.3311
56,10010481,NBA 2K25,105,0.3161
57,10001850,God of War Ragnarök,104,0.3131
58,234567,Cyberpunk 2077,103,0.31
59,10009297,Undisputed,102,0.307
60,205342,Warframe,98,0.295
61,10000333,ELDEN RING,97,0.292
62,235227,Ghost of Tsushima,96,0.289
63,10009763,Zenless Zone Zero,94,0.283
64,230079,The Last of Us™ Part II,92,0.2769
65,235179,Avatar: Frontiers of Pandora™,91,0.2739
66,221694,For Honor,89,0.2679
67,10003923,Ghost of Yōtei,85,0.2559
68,10002811,Among Us,84,0.2529
69,10012851,NHL® 26,83,0.2498
70,10007588,Stumble Guys,81,0.2438
