rank,title_id,title,players,percentage,release_date
19,10017189,Big Walk,403,1.1312,2026-08-04
27,10016736,EA SPORTS™ Madden NFL 27,316,0.887,2026-08-06
43,10008019,MARVEL Tōkon: Fighting Souls,186,0.5221,2026-08-06
74,10013884,Halo: Campaign Evolved,80,0.2246,2026-07-28
151,10014719,Beast of Reincarnation,37,0.1039,2026-08-04
161,10017212,Mistfall Hunter,34,0.0954,2026-07-30
199,10020059,Buffet Boss,25,0.0702,2026-07-18
207,10016651,Grounded 2,24,0.0674,2026-08-11
232,10010058,Mortal Shell II,21,0.0589,2026-08-20
259,10017040,Waterpark Simulator,19,0.0533,2026-07-31
315,10012563,The Mound: Omen of Cthulhu,14,0.0393,2026-07-15
356,10018989,Avatar Legends: The Fighting Game,11,0.0309,2026-07-23
536,10018182,The Planet Crafter,6,0.0168,2026-07-21
635,10014600,Duskfade,4,0.0112,2026-08-13
723,10017627,eBaseball™: PRO SPIRIT 2026,3,0.0084,2026-07-15
746,10012547,Kynseed,3,0.0084,2026-08-04
815,10017931,The King is Watching,3,0.0084,2026-07-29
832,10009826,Voidtrain,3,0.0084,2026-07-30
872,10017140,BLUE REFLECTION Quartet,2,0.0056,2026-07-30
893,10019687,Dating Stories 2,2,0.0056,2026-07-31
966,10017247,Moss: The Forgotten Relic,2,0.0056,2026-07-16
977,10019078,No More Room in Hell 2,2,0.0056,2026-08-11
998,10016223,Psi-Ops: The Mindgate Conspiracy,2,0.0056,2026-07-21
1062,10010534,Ultra Kingdoms,2,0.0056,2026-07-17
1194,10015063,Denshattack!,1,0.0028,2026-07-15
1247,10019517,Farlands,1,0.0028,2026-07-16
1270,10018499,Forensics: Crime Scene Detective,1,0.0028,2026-07-13
1274,10014823,Full Stride,1,0.0028,2026-07-16
1432,10019993,New York Mysteries 2: High Voltage,1,0.0028,2026-07-21
1459,10017988,Parkasaurus: Dinoluxe Edition,1,0.0028,2026-08-05
1562,10019457,Suika Game,1,0.0028,2026-07-26
1618,10010147,The Relic: First Guardian,1,0.0028,2026-07-31
1655,10014568,Truxton Extreme,1,0.0028,2026-07-30
1667,10018501,Verho - Curse of Faces,1,0.0028,2026-07-30
1671,10016977,Volcano Princess,1,0.0028,2026-07-29
1693,10018477,Wrap House Simulator,1,0.0028,2026-07-17
1696,10019326,Wreck Runners,1,0.0028,2026-07-16
