# 2026-08-30 22:22:59 ; Found 55172 viable session entries from 34154 unique users.
rank,title_id,title,players,percentage
133,227552,ザ クルー2,45,0.1318
134,200472,BATMAN™: ARKHAM KNIGHT,44,0.1288
135,10009909,Assassin’s Creed Shadows,43,0.1259
136,10003336,MBC Shahid,43,0.1259
137,229438,STAR WARS™ Battlefront™ II,43,0.1259
138,227770,God of War,42,0.123
139,10002357,MY HERO ULTRA RUMBLE,42,0.123
140,201511,Fallout 4,41,0.12
141,10014519,Football Manager 26 Console,41,0.12
142,232300,Call of Duty®: Black Ops 4,40,0.1171
143,231761,Diablo® IV,40,0.1171
144,202943,Mortal Kombat X,40,0.1171
145,205354,UNCHARTED: Legacy of Thieves Collection,40,0.1171
146,10000237,Assassin's Creed Valhalla,39,0.1142
147,10000161,CarX Drift Racing Online,39,0.1142
148,10014058,Delta Force,39,0.1142
149,10010992,Escape the Backrooms,39,0.1142
150,228868,theHunter: Call of the Wild™,39,0.1142
151,10010458,Vampire Survivors,38,0.1113
152,234689,It Takes Two  PS4™ & PS5™,37,0.1083
153,217012,DRAGON BALL XENOVERSE 2,36,0.1054
154,10009326,EA SPORTS™ Madden NFL 25,35,0.1025
155,10011213,MLB® The Show™ 25,35,0.1025
156,232248,Fallout 76,34,0.0995
157,10008048,Grounded PS4® & PS5®,34,0.0995
158,10008651,MLB® The Show™ 24,34,0.0995
159,10001988,The Outlast Trials,34,0.0995
160,10001369,Cuphead,33,0.0966
161,233961,FAR CRY®6,33,0.0966
162,229018,DAYS GONE,32,0.0937
163,10007638,DRAGONBALL GEKISHIN SQUADRA,31,0.0908
164,10000248,HITMAN World of Assassination,31,0.0908
165,10009205,Arknights: Endfield,30,0.0878
166,10004744,NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS,30,0.0878
167,10001615,Street Fighter 6,30,0.0878
168,10002538,FIFA 22,29,0.0849
169,201579,FINAL FANTASY XIV Online,29,0.0849
170,10008537,LEGO® Batman™: Legacy of the Dark Knight,29,0.0849
171,10008755,SONIC X SHADOW GENERATIONS,29,0.0849
172,216759,WATCH_DOGS® 2,29,0.0849
173,227115,Call of Duty®: WWII,28,0.082
174,10001269,Need for Speed™ Unbound,28,0.082
175,235235,Resident Evil Village,28,0.082
176,10009245,SMITE 2,28,0.082
177,231416,The Forest,28,0.082
178,10010684,WWE 2K25,28,0.082
179,10001481,Yu-Gi-Oh! MASTER DUEL,28,0.082
180,10004865,Assassin's Creed® Mirage,27,0.0791
181,10002100,FINAL FANTASY XVI,27,0.0791
182,221727,Horizon Zero Dawn™,27,0.0791
183,10003763,Predecessor,27,0.0791
184,10004289,UFL,27,0.0791
185,10011142,Where Winds Meet (F2P),27,0.0791
186,217611,3on3 Freestyle,26,0.0761
187,10001771,Farming Simulator 22,26,0.0761
188,228720,Fishing Planet,26,0.0761
189,225697,KINGDOM HEARTS - HD 1.5+2.5 ReMIX -,26,0.0761
190,10008884,Sea of Thieves,26,0.0761
191,204584,The Binding of Isaac: Rebirth,26,0.0761
192,232796,World of Warships: Legends,26,0.0761
193,10010334,Balatro,25,0.0732
194,10003552,Grand Theft Auto: San Andreas – The Definitive Edition,25,0.0732
195,10002771,Persona 5 Royal,25,0.0732
196,10005323,Star Wars Outlaws,25,0.0732
197,228638,The Last of Us™ Remastered,25,0.0732
198,234568,FIFA 20,24,0.0703
199,227139,Human Fall Flat,24,0.0703
200,203053,NOW,24,0.0703
201,203902,Rayman Legends,24,0.0703
202,204861,The Elder Scrolls Online,24,0.0703
203,10008451,7 Days to Die - Console Edition,23,0.0673
204,221692,Far Cry® 5,23,0.0673
205,10000928,MX vs ATV Legends,23,0.0673
206,10014010,Nioh 3,23,0.0673
207,10000177,Sackboy: A Big Adventure,23,0.0673
208,234902,Assetto Corsa Competizione,22,0.0644
209,10003123,Goat Simulator 3,22,0.0644
210,10000886,Horizon Forbidden West,22,0.0644
211,202493,LEGO® Marvel™ Super Heroes,22,0.0644
212,10011463,Microsoft Flight Simulator 2024,22,0.0644
213,203383,Plex,22,0.0644
214,10014084,S.T.A.L.K.E.R. 2: Heart of Chornobyl,22,0.0644
215,224802,ARK: Survival Evolved,21,0.0615
216,225519,Assassin's Creed The Ezio Collection,21,0.0615
217,10002651,Disney Speedstorm,21,0.0615
218,202494,LEGO® MARVEL's Avengers,21,0.0615
219,10000950,Path Of Titans,21,0.0615
220,229500,RESIDENT EVIL 2,21,0.0615
221,205353,Uncharted™: The Nathan Drake Collection,21,0.0615
222,10000819,Borderlands 4,20,0.0586
223,10007134,Mafia: The Old Country,20,0.0586
224,232898,Sekiro™: Shadows Die Twice,20,0.0586
225,10003910,Test Drive Unlimited Solar Crown,20,0.0586
226,10004708,TopSpin 2K25,20,0.0586
227,222066,Assassin's Creed® Origins,19,0.0556
228,10001917,CarX Street,19,0.0556
229,232654,Hollow Knight,19,0.0556
230,10008649,Mafia: Trilogy,19,0.0556
231,10008585,NEW MONOPOLY®,19,0.0556
232,216600,No Man's Sky,19,0.0556
233,10000899,Overcooked! All You Can Eat,19,0.0556
234,10005449,Split Fiction,19,0.0556
235,10002719,The Texas Chain Saw Massacre,19,0.0556
236,10017040,Waterpark Simulator,19,0.0556
237,200520,Bloodborne™,18,0.0527
238,221672,Call of Duty®: Infinite Warfare,18,0.0527
239,10002466,Disney Dreamlight Valley,18,0.0527
240,10000349,eFootball PES 2021 SEASON UPDATE,18,0.0527
241,235061,Golf With Your Friends,18,0.0527
242,231096,Hello Neighbor,18,0.0527
243,10006052,Lies of P,18,0.0527
244,10017212,Mistfall Hunter,18,0.0527
245,204541,Sky Go,18,0.0527
246,212581,World of Tanks Modern Armor,18,0.0527
247,10007978,WWE 2K24,18,0.0527
248,233410,Crash™ Team Racing Nitro-Fueled,17,0.0498
249,10001538,DEATH STRANDING 2: ON THE BEACH,17,0.0498
250,10011468,Dying Light: The Beast,17,0.0498
251,10001996,Hell Let Loose,17,0.0498
252,227147,Insurgency: Sandstorm [PS4 & PS5],17,0.0498
253,227410,Kingdom Come: Deliverance,17,0.0498
254,10002848,Lords of the Fallen,17,0.0498
255,10011588,My First Gran Turismo,17,0.0498
256,205080,Terraria – PlayStation®4 Edition,17,0.0498
257,200088,Assassin's Creed® Unity,16,0.0468
258,221824,Battlefield™ 1,16,0.0468
259,229433,Call of Duty®: Modern Warfare® 2 Campaign Remastered,16,0.0468
