rank,title_id,title,players,percentage,release_date
8,2082978535,Halo: Campaign Evolved,1915,4.5972,2026-07-27
18,1890326099,Mistfall Hunter,520,1.2483,2026-07-28
19,1674575880,EA SPORTS™ College Football 27,509,1.2219,2026-07-08
20,2050201640,Shift At Midnight,501,1.2027,2026-07-22
24,1661962317,Assassin's Creed Black Flag Resynced,361,0.8666,2026-07-08
45,1960998926,Buckshot Roulette,203,0.4873,2026-07-08
46,1984127659,The Planet Crafter,201,0.4825,2026-07-21
47,1822992790,Call of Duty®: Black Ops 6,200,0.4801,2026-07-07
226,2145964960,Dispatch,35,0.084,2026-07-28
247,2116788151,The Mound: Omen of Cthulhu,32,0.0768,2026-07-14
324,1855894998,Denshattack!,21,0.0504,2026-07-15
383,2027362653,Ascend to ZERO,16,0.0384,2026-07-12
386,1668037164,FixForce,16,0.0384,2026-07-17
499,1687712929,Echoes of Aincrad,11,0.0264,2026-07-10
531,2059212977,Beast of Reincarnation,10,0.024,2026-08-04
560,1734440333,Avatar Legends: The Fighting Game,9,0.0216,2026-07-23
630,1967707787,War Robots,8,0.0192,2026-07-16
867,1795518228,Forever Skies,4,0.0096,2026-07-26
953,1723425473,Arkheron Insider,3,0.0072,2026-07-16
1007,1916046476,Incremental Epic Hero 2,3,0.0072,2026-07-15
1081,2080479328,The Legend of Fireball,3,0.0072,2026-07-03
1214,1622751657,Leafy Corner,2,0.0048,2026-07-30
1383,1929543936,Truxton Extreme,2,0.0048,2026-07-30
1403,1781910183,Zombie Graveyard Simulator,2,0.0048,2026-07-30
1475,1873040721,Black Spades,1,0.0024,2026-07-10
1494,1710121709,Brave Escape,1,0.0024,2026-07-23
1538,1797151121,Cook the Word,1,0.0024,2026-07-10
1558,1702263299,CULTIC,1,0.0024,2026-07-23
1559,1766671326,Cyber Tank Pink (Xbox One),1,0.0024,2026-07-22
1678,2110305468,HARDWIRED: Ghost In The Reset,1,0.0024,2026-07-30
1702,1638021788,Independence Day Festive Finds,1,0.0024,2026-07-03
1764,1839762073,Meccha Paint,1,0.0024,2026-07-14
1892,2037043919,Railway Routes,1,0.0024,2026-07-29
1922,1629030277,Roll Mad,1,0.0024,2026-07-23
2024,1954522566,Tears of Metal,1,0.0024,2026-07-21
2094,1901813773,Truck-kun is Supporting Me from Another World?!,1,0.0024,2026-07-29
2096,1990950391,Truck Simulator 26 - American Driver,1,0.0024,2026-07-28
2122,1887897476,Waterpark Simulator,1,0.0024,2026-07-31
2129,1812653624,Winds of Arcana: Ruination,1,0.0024,2026-07-06
2137,1751765267,Wrap House Simulator,1,0.0024,2026-07-17
