rank,title_id,title,players,percentage,release_date
12,1845885580,RV There Yet?,666,2.1067,2026-06-29
17,1674575880,EA SPORTS™ College Football 27,414,1.3096,2026-07-08
36,1862431175,UFC® 6,173,0.5472,2026-06-19
51,1901146690,Abyssus,139,0.4397,2026-06-25
74,1658822323,Where Winds Meet,98,0.31,2026-06-07
93,1812653624,Winds of Arcana: Ruination,75,0.2372,2026-07-06
210,2069221794,Solarpunk,31,0.0981,2026-06-08
251,2080479328,The Legend of Fireball,25,0.0791,2026-07-03
282,2110784425,Frog Sqwad,21,0.0664,2026-06-11
300,2135464087,Bellwright,19,0.0601,2026-06-09
343,1783517095,Beatdown City Survivors,15,0.0474,2026-06-10
362,1951198596,NBA THE RUN,14,0.0443,2026-06-09
391,1938588110,STARSEEKER: Astroneer Expeditions (Game Preview),13,0.0411,2026-06-10
396,1661962317,Assassin's Creed Black Flag Resynced,12,0.038,2026-07-08
419,2052376111,Beastro,11,0.0348,2026-06-11
480,2141212892,33 Immortals,9,0.0285,2026-06-11
530,1777567504,Backrooms: Escape Together,8,0.0253,2026-06-18
543,1702245509,Junkster,8,0.0253,2026-06-16
700,1770110484,EMPULSE (Game Preview),5,0.0158,2026-06-24
772,1642635984,DEAD OR ALIVE 6 Last Round Core Fighters,4,0.0127,2026-06-25
938,1678959269,Meccha Mimic,3,0.0095,2026-07-01
1144,2126139968,Murky Divers,2,0.0063,2026-06-30
1208,1768994193,Summer Seaside Search,2,0.0063,2026-06-19
1220,1661063529,The Adventures of Elliot: The Millennium Tales,2,0.0063,2026-06-18
1225,2116788151,The Mound: Omen of Cthulhu,2,0.0063,2026-07-14
1333,1655333131,Bone Marrow 2,1,0.0032,2026-07-03
1377,1753004612,Colorful Recolor,1,0.0032,2026-07-09
1437,1921196301,Drug Dealer Simulator 2,1,0.0032,2026-06-17
1479,1826390129,Find The Cats,1,0.0032,2026-06-18
1537,1682140320,House Flipper Remastered Collection,1,0.0032,2026-06-24
1543,2050154652,In Fair Spirits,1,0.0032,2026-07-03
1545,1638021788,Independence Day Festive Finds,1,0.0032,2026-07-03
1631,1864843444,Monopoly: Star Wars™ Heroes vs. Villains,1,0.0032,2026-06-30
1821,1947447256,Sodaman,1,0.0032,2026-07-01
1960,2008415720,Wild West Supermarket Simulator,1,0.0032,2026-06-26
