rank,title_id,title,players,percentage,release_date
2016,1777131585,Sticker Picker (Xbox Series),10,0.0034,2026-08-31
2019,1648312485,Super Woden Rally Edge,10,0.0034,2026-09-02
2173,1916835570,Hockey Beasts,8,0.0027,2026-09-04
2305,2095305487,Lootbound,7,0.0024,2026-08-14
2345,1902371088,Shikaku Room,7,0.0024,2026-09-01
2400,1913824849,Car Service Simulator,6,0.002,2026-08-14
2424,2060611782,Ember and Blade Demo,6,0.002,2026-09-03
2428,1893842455,Fear The Timeloop,6,0.002,2026-09-04
2508,1736234663,Soccer Arena Differences,6,0.002,2026-09-04
2509,1615555170,Soccer Arena Differences (Xbox One),6,0.002,2026-09-04
2525,2130778777,Train Sim World® 7: Free Starter Edition,6,0.002,2026-09-15
2587,1969555800,Dark Dungeon Head Haze,5,0.0017,2026-08-21
2588,1842512249,Dark Dungeon Head Haze (Xbox Series),5,0.0017,2026-08-21
2599,2139465249,Feed Your Cat: New Paths,5,0.0017,2026-09-02
2606,1677736955,Galactic Vault,5,0.0017,2026-09-03
2621,1963472404,Lady Death Demonicron,5,0.0017,2026-08-31
2735,1998334767,Wild Blue Skies,5,0.0017,2026-08-12
2770,1750660486,BRIGANDINE ABYSS,4,0.0013,2026-08-27
2823,2052173475,Funguys Swarm,4,0.0013,2026-08-25
2838,1965970678,Horripilant,4,0.0013,2026-08-27
2865,1845126958,Lou's Lagoon,4,0.0013,2026-08-27
2932,1838770558,Sokobear Spring,4,0.0013,2026-08-13
2943,1798820393,Sticker Picker (Xbox One),4,0.0013,2026-08-31
2962,1805011202,The Immortal John Triptych,4,0.0013,2026-08-27
3016,1643586123,A Tower Full of Cats,3,0.001,2026-08-26
3105,2040430393,Dark Dungeon Head Haze (Windows),3,0.001,2026-08-21
3116,1887666925,Dream Doctor,3,0.001,2026-09-03
3134,1664216127,Find The Cats 2 (Xbox One),3,0.001,2026-08-20
3137,1670329609,Flute Of Gobelin,3,0.001,2026-09-04
3160,1887282826,Hearthstorm (Xbox One),3,0.001,2026-09-03
3197,1913537621,Mad King Redemption,3,0.001,2026-08-23
3213,1649640931,Modularis,3,0.001,2026-08-26
3214,1896083100,Modularis (Xbox One),3,0.001,2026-08-26
3215,2026883078,Monty The Play Bear (Xbox One),3,0.001,2026-08-27
3216,1998085351,Monty The Play Bear (Xbox Series),3,0.001,2026-08-27
3276,2077497076,Rune Axe,3,0.001,2026-08-28
3277,1927952264,Rune Axe (Xbox Series),3,0.001,2026-08-28
3301,2066053179,Soccer Arena Differences (Windows),3,0.001,2026-09-04
3329,2051934751,Tearscape,3,0.001,2026-08-27
3356,1891146321,Tower Dominion,3,0.001,2026-08-14
3363,2103016725,Tropical Jurassic Discovery,3,0.001,2026-08-28
3364,1894778410,Tropical Jurassic Discovery (Xbox One),3,0.001,2026-08-28
3425,1881951552,Aggelos 2,2,0.0007,2026-08-27
3449,1846275807,Arcade Archives 2 NINJA EMAKI,2,0.0007,2026-08-19
3450,2122886059,Arcade Archives 2 PINBALL ACTION,2,0.0007,2026-08-13
3451,2005089749,Arcade Archives 2 SATAN OF SATURN,2,0.0007,2026-08-26
3453,1765531088,Archerio,2,0.0007,2026-08-19
3483,1769346995,BioEden,2,0.0007,2026-09-03
3548,1731093976,Clothing Supermarket Store Simulator,2,0.0007,2026-08-19
3563,1635340698,Cozy Tiny Home,2,0.0007,2026-08-25
3565,1999638024,Creepy Shift: Uncle Joe’s Motel,2,0.0007,2026-08-21
3590,1996309372,Deconstruction Simulator,2,0.0007,2026-09-10
3593,1835728091,Defender of the Crown: The Legend Returns,2,0.0007,2026-08-13
3604,1723380574,Dominus Mahjong Arcana,2,0.0007,2026-09-11
3605,1949209537,Dominus Mahjong Arcana (XBOX SERIES),2,0.0007,2026-09-11
3614,1988226920,Dream Cage,2,0.0007,2026-09-04
3615,1904220638,Dream Doctor (Xbox One),2,0.0007,2026-09-03
3620,2127068157,Driving is Hard,2,0.0007,2026-08-20
3699,1759695432,GoBlomb,2,0.0007,2026-08-28
3719,1741032560,Hearthstorm,2,0.0007,2026-09-03
3736,1714684733,Hole in Many (Xbox One),2,0.0007,2026-09-08
3744,1737220684,Idle Immortal,2,0.0007,2026-08-13
3748,1689527207,INK ENIGMA: Coloring Hidden Objects,2,0.0007,2026-08-28
3808,1994706436,Marsupilami 2 – Salsa Palombia,2,0.0007,2026-09-03
3821,1778931368,Modularis (Windows),2,0.0007,2026-08-26
3831,2007087929,Murders on the Yangtze River,2,0.0007,2026-08-27
3858,1995386885,Once Alive,2,0.0007,2026-08-28
3861,1640986104,One Button Games 5-in-1 vol. 8,2,0.0007,2026-08-18
3875,2110778897,Panzer Knights: Commander's Edition,2,0.0007,2026-08-13
3877,2131674834,Pay To Path (Xbox One),2,0.0007,2026-08-21
3891,1720890126,Psalm 5:9-13,2,0.0007,2026-08-21
3980,1943632179,Sticker Picker (Windows),2,0.0007,2026-08-31
4039,2096669648,Tintle's Great Colorful Adventure,2,0.0007,2026-09-01
4040,1933265108,Tintle's Great Colorful Adventure (Xbox One),2,0.0007,2026-09-01
4088,1862768671,Word Search Infinite,2,0.0007,2026-08-28
4116,1766564531,1964 Operation Velvet Twins,1,0.0003,2026-08-28
4171,1853323925,AereA,1,0.0003,2026-09-03
4224,1894148218,Arcade Archives 2 ARKANOID REVENGE OF DOH,1,0.0003,2026-09-02
4226,2107394438,Arcade Archives 2 CYBER CYCLES,1,0.0003,2026-08-19
4229,1956186794,Arcade Archives 2 V'BALL,1,0.0003,2026-08-12
4274,1735614356,Barkside Roads (Xbox One),1,0.0003,2026-08-13
4306,1988988714,Bench Simulator,1,0.0003,2026-08-22
4315,1791245117,Birds Watching,1,0.0003,2026-08-20
4318,1805494022,Black Flower Demo,1,0.0003,2026-08-17
4383,1830128377,Bunny Pit Berry (Xbox One),1,0.0003,2026-08-11
4453,2105350445,Cloudy Day,1,0.0003,2026-08-19
4466,1691378388,Comfy Corners: Unpack and Decorate,1,0.0003,2026-08-26
4586,1891442010,Dexter Stardust : Adventures in Outer Space,1,0.0003,2026-09-03
4604,1957486679,Dominus Mahjong Arcana (WINDOWS),1,0.0003,2026-09-11
4613,2021964391,Dr. Atominus (Xbox Series),1,0.0003,2026-09-01
4625,1785269648,Dream Doctor (Windows),1,0.0003,2026-09-03
4640,1819428072,Dungeon Antiqua 2,1,0.0003,2026-08-19
4669,2123616524,Emergency Room Simulator,1,0.0003,2026-08-13
4732,1905075291,Fight School Simulator,1,0.0003,2026-09-03
4741,2041609242,Find The Cats 2,1,0.0003,2026-08-20
4742,1952087287,Find The Cats 2 (Windows),1,0.0003,2026-08-20
4745,2137993682,Firefighting Rescue Simulator,1,0.0003,2026-08-25
4746,1968866571,Firefighting Simulator - Be a Hero,1,0.0003,2026-08-28
4879,1957032705,Grim Trials,1,0.0003,2026-08-20
4883,2039794466,Ground Zero Hero,1,0.0003,2026-08-20
4915,1708086172,Hearthstorm (Windows),1,0.0003,2026-09-03
4937,1961922708,Hidden Legends 2,1,0.0003,2026-08-14
4941,1884242440,Hole in Many (Xbox Series),1,0.0003,2026-09-08
4952,2046154763,Hotel Business Simulator,1,0.0003,2026-08-27
4992,1888166397,Iridio,1,0.0003,2026-08-11
4995,1728122742,Isle of Reveries,1,0.0003,2026-09-04
5010,1815280218,Jonah Lomu Rugby Challenge 4 Remastered,1,0.0003,2026-08-28
5035,1841603397,KEYQUACK QUEST,1,0.0003,2026-08-21
5036,1674456432,KEYQUACK QUEST (XBOX SERIES),1,0.0003,2026-08-21
5059,1771623848,Komorebi: A Furry Visual Novel,1,0.0003,2026-09-03
5127,1693628077,MALL: Tidy UP,1,0.0003,2026-08-26
5143,1886248403,Mega City Force,1,0.0003,2026-08-21
5167,1843611204,Mighty Aphid: Remastered Edition,1,0.0003,2026-08-28
5190,1704824329,Monty The Play Bear (Windows),1,0.0003,2026-08-27
5196,1855227600,Mountain Legends 2 - Reloaded,1,0.0003,2026-09-02
5264,2021895519,No More Slimes!!,1,0.0003,2026-08-21
5295,1818133467,One Button Games 5-in-1 vol. 8 (Windows),1,0.0003,2026-08-18
5296,1790384943,One Button Games 5-in-1 vol. 8 (Xbox One),1,0.0003,2026-08-18
5308,1925002026,Order Automatica,1,0.0003,2026-09-04
5341,1951628827,Pay To Path (Xbox Series),1,0.0003,2026-08-21
5352,2145096280,Pets Survivors,1,0.0003,2026-08-12
5383,1906114996,Pool Cleaning Simulator,1,0.0003,2026-08-12
5393,1690692770,Pro Jank Footy,1,0.0003,2026-08-12
5406,1635087490,Puppergeist,1,0.0003,2026-08-20
5436,2004886907,Railbreak DX,1,0.0003,2026-09-04
5514,1680268059,Rune Axe (Windows),1,0.0003,2026-08-28
5528,1929509371,Salvation: Echoes of War,1,0.0003,2026-09-01
5607,1962362594,Sokobear Spring (Windows),1,0.0003,2026-08-13
5608,1677669721,Sokobear Spring (XBOX One),1,0.0003,2026-08-13
5645,1684736783,Spot Stories Vol. 3,1,0.0003,2026-08-21
5673,1692268514,Steve Is Alone,1,0.0003,2026-09-02
5674,2002411592,Stock Cars Racing,1,0.0003,2026-09-01
5709,1895696776,Super Astro Cat 2 (Windows),1,0.0003,2026-08-19
5710,1822461489,Super Astro Cat 2 (Xbox One),1,0.0003,2026-08-19
5711,2082733109,Super Astro Cat 2 (Xbox Series X/S),1,0.0003,2026-08-19
5727,1998863142,Super Pixel Kid 2,1,0.0003,2026-08-30
5848,1996480016,Tintle's Great Colorful Adventure (Windows),1,0.0003,2026-09-01
5876,1791803213,Trash Raccoon,1,0.0003,2026-08-11
5885,2085164902,Tropical Jurassic Discovery (Windows),1,0.0003,2026-08-28
5972,1623064491,With Eyes of Ice,1,0.0003,2026-08-21
5981,1768172289,WonderCat Adventures,1,0.0003,2026-08-19
