rank,title_id,title,players,percentage,release_date
8,1680003655,Call of Duty®: Modern Warfare® 4 - Beta,14708,4.9629,2026-08-20
11,1731722945,NBA 2K27,12546,4.2334,2026-09-03
18,1989157631,Once Human,7296,2.4619,2026-08-24
21,1962870476,EA SPORTS™ Madden NFL 27,5684,1.9179,2026-08-12
40,1790707834,Resonance: A Plague Tale Legacy,2829,0.9546,2026-08-26
69,2062957237,Hell Let Loose: Vietnam,1867,0.63,2026-08-13
71,2129637901,Shelldiver,1835,0.6192,2026-09-01
86,1733929983,STAR WARS Zero Company™,1499,0.5058,2026-08-26
95,1634088961,No More Room in Hell 2,1345,0.4538,2026-08-11
101,1692943563,Halloween: The Game,1289,0.4349,2026-09-07
127,1982295121,The Blood of Dawnwalker,1005,0.3391,2026-09-02
169,1645215415,Mortal Shell II,764,0.2578,2026-08-20
184,1643147108,Blood Dungeon,697,0.2352,2026-08-25
212,1700133950,NHL® 27 XBOX Series X|S,579,0.1954,2026-09-10
249,1946103811,Aliens: Fireteam Elite 2,469,0.1583,2026-08-25
290,2083389920,Crimson Moon,365,0.1232,2026-09-01
338,2131196662,Onimusha: Way of the Sword,305,0.1029,2026-09-04
343,1830806796,METAL GEAR SOLID 4: Guns of the Patriots - Master Collection Version,298,0.1006,2026-08-27
355,2079193177,The Lord of the Rings: War in the North™ - Legacy Edition,282,0.0952,2026-08-11
472,2037306298,Mafia: Definitive Edition for XBOX Series X|S,184,0.0621,2026-08-13
496,1830077453,FINAL FANTASY RESONANCE DEMO,174,0.0587,2026-09-03
542,1974027100,Splash of Color,152,0.0513,2026-08-28
765,1973065679,METAL GEAR SOLID: Peace Walker - Master Collection Version,84,0.0283,2026-08-27
899,2111369051,Fortress Merge,64,0.0216,2026-09-04
1069,1843104013,Infection Free Zone,44,0.0148,2026-08-27
1076,1753283788,The Sinking City 2,44,0.0148,2026-08-18
1266,2004415551,CAPTAIN TSUBASA 2: WORLD FIGHTERS,31,0.0105,2026-08-27
1306,1748165994,iRacing Arcade,29,0.0098,2026-08-21
1342,1877051178,Hidden Cats in Barcelona,27,0.0091,2026-08-26
1402,1720764822,Brainrot Kart,24,0.0081,2026-09-03
1411,1822775483,How To Catch Fish,24,0.0081,2026-08-26
1532,1727426017,Sandustry (Game Preview),20,0.0067,2026-08-13
1637,2115682077,HOT WHEELS™ Infinite Rush,17,0.0057,2026-09-10
1781,1807479023,Backyard Baseball,13,0.0044,2026-08-18
1810,2136659595,Moonbringer,13,0.0044,2026-09-04
1850,1692013692,Duskfade,12,0.004,2026-08-13
1947,2145627498,Warshift 2: Machines of Madness,11,0.0037,2026-08-29
1956,1723972808,Berry Bury Berry,10,0.0034,2026-08-20
