rank,title_id,title,players,percentage,release_date
8,1732013402,Grounded 2 (Game Preview),11257,4.719,2025-07-29
14,2073302268,Ready or Not,8952,3.7527,2025-07-15
17,2118102995,EA SPORTS™ College Football 26,7206,3.0208,2025-07-10
20,1712074146,WUCHANG: Fallen Feathers,5513,2.3111,2025-07-24
28,1877908426,Tony Hawk's™ Pro Skater™ 3 + 4,3583,1.502,2025-07-10
30,2068332202,Abiotic Factor,3407,1.4282,2025-07-22
56,2032762484,Descenders Next (Game Preview),1949,0.817,2025-07-20
74,1655054632,My Friendly Neighborhood,1340,0.5617,2025-07-17
81,2003727579,Call of Duty®: Modern Warfare® III,1163,0.4875,2025-07-21
97,1959007243,Call of Duty®: Modern Warfare® II,1011,0.4238,2025-07-21
120,1816197116,Wheel World,904,0.379,2025-07-23
164,1876744786,Killing Floor 3,618,0.2591,2025-07-24
190,2079828144,Holdfast: Nations At War,506,0.2121,2025-07-09
194,1715865995,Back to the Dawn,489,0.205,2025-07-18
398,2008301104,Wildgate,169,0.0708,2025-07-22
443,1620704918,Minami Lane,140,0.0587,2025-07-09
487,1996335028,He is Coming (Game Preview),119,0.0499,2025-07-17
526,2042908226,Rugby League 26,107,0.0449,2025-07-16
527,1691448998,Farm Together 2,106,0.0444,2025-07-04
719,1709856057,RoboCop: Rogue City - Unfinished Business,62,0.026,2025-07-17
781,2042794389,Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles 2,52,0.0218,2025-08-06
916,2080427416,Tony Hawk's™ Pro Skater™ 3 + 4 - Foundry Demo,38,0.0159,2025-07-11
996,1853524575,Mafia: The Old Country,32,0.0134,2025-08-08
1044,1984077720,Tales of the Shire: A The Lord of The Rings™ Game,29,0.0122,2025-07-29
1114,1798733099,Teenage Mutant Ninja Turtles: Splintered Fate,25,0.0105,2025-07-08
1180,2129748278,SHINOBI: Art of Vengeance Demo,22,0.0092,2025-07-31
1357,2013083896,NINJA GAIDEN: Ragebound,16,0.0067,2025-07-31
1408,2144204141,Achilles: Survivor,14,0.0059,2025-07-29
1415,1799540443,Dungeons & Dragons Neverwinter Nights 2: Enhanced Edition,14,0.0059,2025-07-15
1436,1967005422,The Wandering Village,14,0.0059,2025-07-17
1511,1657564986,Ratshaker,12,0.005,2025-07-16
1544,1705150859,Greedland,11,0.0046,2025-07-10
1565,1945317756,Shadow Labyrinth,11,0.0046,2025-07-18
1697,1902674094,Secret Paws - Cozy Offices,9,0.0038,2025-07-23
1704,1704201327,System Shock 2: 25th Anniversary Remaster,9,0.0038,2025-07-10
1748,1874135365,EDENS ZERO,8,0.0034,2025-07-15
1862,2095111834,Luto,7,0.0029,2025-07-22
