rank,title_id,title,players,percentage,release_date
8,1731722945,NBA 2K27,12989,4.5984,2026-09-03
17,1989157631,Once Human,6604,2.338,2026-08-24
21,1962870476,EA SPORTS™ Madden NFL 27,5406,1.9139,2026-08-12
23,1680003655,Call of Duty®: Modern Warfare® 4 - Beta,5145,1.8215,2026-08-20
54,1790707834,Resonance: A Plague Tale Legacy,2266,0.8022,2026-08-26
61,1692943563,Halloween: The Game,2002,0.7088,2026-09-07
71,2062957237,Hell Let Loose: Vietnam,1722,0.6096,2026-08-13
90,2129637901,Shelldiver,1325,0.4691,2026-09-01
91,1733929983,STAR WARS Zero Company™,1320,0.4673,2026-08-26
98,1982295121,The Blood of Dawnwalker,1262,0.4468,2026-09-02
102,1634088961,No More Room in Hell 2,1208,0.4277,2026-08-11
152,1700133950,NHL® 27 XBOX Series X|S,795,0.2815,2026-09-10
178,1645215415,Mortal Shell II,663,0.2347,2026-08-20
217,1643147108,Blood Dungeon,526,0.1862,2026-08-25
249,2131196662,Onimusha: Way of the Sword,435,0.154,2026-09-04
254,1946103811,Aliens: Fireteam Elite 2,418,0.148,2026-08-25
312,2083389920,Crimson Moon,311,0.1101,2026-09-01
348,1830806796,METAL GEAR SOLID 4: Guns of the Patriots - Master Collection Version,266,0.0942,2026-08-27
411,1830077453,FINAL FANTASY RESONANCE DEMO,217,0.0768,2026-09-03
418,2079193177,The Lord of the Rings: War in the North™ - Legacy Edition,215,0.0761,2026-08-11
472,2037306298,Mafia: Definitive Edition for XBOX Series X|S,172,0.0609,2026-08-13
542,1974027100,Splash of Color,137,0.0485,2026-08-28
760,2111369051,Fortress Merge,78,0.0276,2026-09-04
816,1973065679,METAL GEAR SOLID: Peace Walker - Master Collection Version,70,0.0248,2026-08-27
1164,1753283788,The Sinking City 2,35,0.0124,2026-08-18
1204,2004415551,CAPTAIN TSUBASA 2: WORLD FIGHTERS,31,0.011,2026-08-27
1224,1843104013,Infection Free Zone,30,0.0106,2026-08-27
1262,1720764822,Brainrot Kart,28,0.0099,2026-09-03
1270,1748165994,iRacing Arcade,28,0.0099,2026-08-21
1348,2115682077,HOT WHEELS™ Infinite Rush,25,0.0089,2026-09-10
1370,1877051178,Hidden Cats in Barcelona,24,0.0085,2026-08-26
1497,1822775483,How To Catch Fish,19,0.0067,2026-08-26
1677,1727426017,Sandustry (Game Preview),15,0.0053,2026-08-13
1715,1890942970,NASCAR 26,14,0.005,2026-09-18
1747,2136659595,Moonbringer,13,0.0046,2026-09-04
1769,1807479023,Backyard Baseball,12,0.0042,2026-08-18
2015,1748418988,Mewgenics,9,0.0032,2026-09-08
2038,1648312485,Super Woden Rally Edge,9,0.0032,2026-09-02
2094,1916835570,Hockey Beasts,8,0.0028,2026-09-04
2131,1777131585,Sticker Picker (Xbox Series),8,0.0028,2026-08-31
2187,2060611782,Ember and Blade Demo,7,0.0025,2026-09-03
2217,2095305487,Lootbound,7,0.0025,2026-08-14
2250,1902371088,Shikaku Room,7,0.0025,2026-09-01
2252,1736234663,Soccer Arena Differences,7,0.0025,2026-09-04
2295,1723972808,Berry Bury Berry,6,0.0021,2026-08-20
