rank,title_id,title,players,percentage,release_date
4,2106683993,skate.™ (Game Preview),27344,10.7067,2025-09-16
13,1909324253,EA SPORTS FC™ 26 Xbox Series X|S,9772,3.8263,2025-09-25
16,1928228122,Borderlands®4,7893,3.0906,2025-09-13
19,1668241504,Hollow Knight: Silksong,5963,2.3349,2025-09-04
31,1680544459,Dying Light: The Beast,3087,1.2087,2025-09-18
45,2076120890,Deep Rock Galactic: Survivor,2359,0.9237,2025-09-17
49,1746894998,Roblox - Windows,2245,0.879,2025-09-11
52,1852068331,EA SPORTS FC™ 26 Xbox One,2205,0.8634,2025-09-25
53,1684061010,SWORN,2173,0.8509,2025-09-23
99,2119939858,NHL® 26 Xbox Series X|S,1098,0.4299,2025-09-11
184,1946419297,Jump Space (Game Preview),573,0.2244,2025-09-19
189,1830825388,SILENT HILL f,556,0.2177,2025-09-25
240,2111887267,Sonic Racing: CrossWorlds,402,0.1574,2025-09-25
252,2075142437,Sonic Racing: CrossWorlds Demo,365,0.1429,2025-09-17
310,1999941762,Little Nightmares 3 - Demo,268,0.1049,2025-09-17
335,1884079219,Slime Rancher 2,233,0.0912,2025-09-23
354,1696697876,NBA 2K26 for Xbox One,213,0.0834,2025-09-04
355,1644006979,ENDLESS Legend™ 2,212,0.083,2025-09-22
419,1947019474,ScootX,165,0.0646,2025-09-19
449,1825676269,Digimon Story Time Stranger Demo,146,0.0572,2025-09-11
466,1631581287,Cronos: The New Dawn,140,0.0548,2025-09-04
469,2050929089,DUCKSIDE (Game Preview),136,0.0533,2025-09-03
498,1676173709,Wizard101,122,0.0478,2025-10-08
535,1819998160,LEGO® Voyagers,107,0.0419,2025-09-14
646,1962619691,Cataclismo,79,0.0309,2025-09-04
714,1867652631,Firefighting Simulator: Ignite,67,0.0262,2025-09-09
718,1910114469,Deadzone: Rogue,66,0.0258,2025-09-03
720,1799885509,Labyrinthine - Console Edition,66,0.0258,2025-09-18
782,1915656928,Baki Hanma: Blood Arena Demo,56,0.0219,2025-09-09
834,1886146911,Yet Another Zombie Survivors,51,0.02,2025-09-11
838,1935688591,Daemon X Machina: Titanic Scion,49,0.0192,2025-09-04
952,1759144821,PAC-MAN WORLD 2 Re-PAC,37,0.0145,2025-09-26
985,1902411725,Hell is Us,34,0.0133,2025-09-04
1092,2042949468,Labyrinthine - Console Edition Demo,28,0.011,2025-09-09
1140,2016521636,Military Logistics Simulator Demo,25,0.0098,2025-09-09
1145,2049279350,Puzzle Quest: Immortal Edition,25,0.0098,2025-09-18
1176,1962802003,Tormented Souls 2 Demo,24,0.0094,2025-09-09
1177,2119315223,Void Crew,24,0.0094,2025-09-04
1184,1646597747,Dead Reset Demo,23,0.009,2025-09-09
1205,2063484815,Train Sim World® 6: Free Starter Pack,23,0.009,2025-09-30
1230,2125839408,Formula Legends,21,0.0082,2025-09-18
1281,2043510457,Friends vs Friends,19,0.0074,2025-09-01
1294,2105596480,The Jackbox Party Pack 11 Demo,19,0.0074,2025-09-09
1300,1681608901,Yooka-Replaylee Demo,19,0.0074,2025-09-08
1318,1890778408,Hidden Cats in Tokyo,18,0.007,2025-09-17
1438,2022315423,Gunsmith Simulator,15,0.0059,2025-09-04
1472,1769984530,Let Them Come: Onslaught Demo,14,0.0055,2025-09-10
1475,2093020385,Neon Inferno Demo,14,0.0055,2025-09-09
1548,1794618801,Car Mechanic Shop Simulator,12,0.0047,2025-09-19
1580,1704946873,Romancing SaGa 2: Revenge of the Seven,12,0.0047,2025-09-25
1601,1668362617,Bullet Trail,11,0.0043,2025-09-19
1610,1856095222,FAITH: The Unholy Trinity Demo,11,0.0043,2025-09-09
1621,1992271028,Jotunnslayer: Hordes of Hel Demo,11,0.0043,2025-09-08
1624,1638903610,Meow Moments: Celebrating Beats & Books,11,0.0043,2025-09-24
1676,1675216825,Deck of Haunts Demo,10,0.0039,2025-09-09
1722,1659178052,Angry Video Game Nerd 8-bit Demo,9,0.0035,2025-09-09
1725,1619305462,Baki Hanma: Blood Arena,9,0.0035,2025-09-11
1732,1922125818,Dead Reset,9,0.0035,2025-09-11
1747,1641368913,House Fighters: Total Mess Demo,9,0.0035,2025-09-12
1793,1854172310,AWAKEN - Astral Blade Demo,8,0.0031,2025-09-08
1825,1816715399,Halls of Torment - Demo,8,0.0031,2025-09-09
1828,1713780480,HOTEL BARCELONA,8,0.0031,2025-09-26
1830,1930132661,Jotunnslayer: Hordes of Hel,8,0.0031,2025-09-03
1860,1617329535,Romancing SaGa 2: Revenge of the Seven Demo,8,0.0031,2025-09-25
1865,1760369741,SULFUR Demo,8,0.0031,2025-09-04
1879,1743460039,Wizordum,8,0.0031,2025-09-23
1895,1662123102,Biped 2 DEMO,7,0.0027,2025-09-09
1900,1670545964,Cards We're Dealt Demo,7,0.0027,2025-09-17
1916,2096194619,Electronics Puzzle Lab 2,7,0.0027,2025-09-24
1921,1991161537,Fuga: Melodies of Steel 3 - Demo,7,0.0027,2025-09-18
1938,1713268914,NODE: The Last Favor of the Antarii (Game Demo),7,0.0027,2025-09-09
1947,2114465392,Possessions Demo,7,0.0027,2025-09-09
2019,2044409240,Edgar Poe: Hidden Objects Game,6,0.0023,2025-09-24
2028,1612600408,Floralis Demo,6,0.0023,2025-09-07
2030,1882538785,Forgive Me Father 2,6,0.0023,2025-09-23
2077,2008860920,Skyline Bowling,6,0.0023,2025-09-05
2102,2027842646,Totally Normal Journey: The Interactive Musical,6,0.0023,2025-09-19
2116,1983088228,9 Lives To Defend,5,0.002,2025-09-10
2119,1791497779,Agatha Christie - Death on the Nile,5,0.002,2025-09-25
2130,1845089422,Beacon of Neyda Demo,5,0.002,2025-09-09
2136,2137734969,Brews & Bastards Demo,5,0.002,2025-09-09
2179,1673712997,KARMA: The Dark World,5,0.002,2025-09-10
2189,1916459679,Mina the Hollower Demo,5,0.002,2025-09-09
2190,1983120305,Moon Mystery,5,0.002,2025-09-18
2279,1915348035,A Pizza Delivery Demo,4,0.0016,2025-09-08
2334,1741300205,Earthion,4,0.0016,2025-09-18
2340,1799361641,Extremely Powerful Capybaras,4,0.0016,2025-09-25
2362,1755930585,Hot Stakes Casino - American Roulette,4,0.0016,2025-09-10
2372,1797979685,Kentum Demo,4,0.0016,2025-09-24
2385,2028723617,LEGO® Party!,4,0.0016,2025-09-30
2393,1624454834,Mel The Cat,4,0.0016,2025-09-18
2395,1889275388,Metal Eden,4,0.0016,2025-09-02
2417,2134612267,Polterguys: Possession Party Demo,4,0.0016,2025-09-09
2518,2078107330,Bad Cheese,3,0.0012,2025-09-01
2563,1855780914,DreamWorks Gabby’s Dollhouse: Ready to Party,3,0.0012,2025-09-19
2656,1716123081,Mel The Cat (Xbox One),3,0.0012,2025-09-18
2694,1837564150,Ragdoll Fighter,3,0.0012,2025-09-05
2704,1775673786,Republic of Pirates,3,0.0012,2025-09-25
2727,1648364111,Snack and Quack (Xbox Series),3,0.0012,2025-09-09
2773,1752529058,Towa and the Guardians of the Sacred Tree,3,0.0012,2025-09-19
2840,1715858236,Alphadia III,2,0.0008,2025-09-19
2850,1689369156,Arcade Archives 2 MACH BREAKERS,2,0.0008,2025-09-03
2852,1853994299,Arctic Awakening,2,0.0008,2025-09-18
2876,1705614797,Bit ESC Demo,2,0.0008,2025-09-09
2889,1711822201,Breaking Gates Preview,2,0.0008,2025-09-09
2890,1986852796,Brews & Bastards,2,0.0008,2025-09-22
2892,2128038705,BrokenLore: LOW,2,0.0008,2025-09-15
2894,2092197904,Bubsy in: The Purrfect Collection,2,0.0008,2025-09-09
2906,1888252516,Captain Puff Macfly (DEMO),2,0.0008,2025-09-09
2944,1725949779,CyberWar Neon City Demo,2,0.0008,2025-09-09
2966,1625099025,Detective Dotson Demo,2,0.0008,2025-09-08
2968,1943631392,Digimon Story Time Stranger,2,0.0008,2025-10-03
2983,2079627490,Echoes of the Plum Grove Demo,2,0.0008,2025-09-09
2988,1690575171,Endoparasitic,2,0.0008,2025-09-25
3025,1818898453,Giant Rush,2,0.0008,2025-09-26
3026,1896621270,Gloomy Eyes Demo,2,0.0008,2025-09-09
3031,2080856071,Green Soldiers Heroes: Extreme Bikers,2,0.0008,2025-09-19
3036,1653389515,Guidus Zero,2,0.0008,2025-09-25
3067,1914111453,INK ENIGMA: Hidden Object Challenges,2,0.0008,2025-09-24
3125,1626004065,Mel The Cat (Windows),2,0.0008,2025-09-18
3190,1662154584,Platypus Reclayed,2,0.0008,2025-09-18
3284,1645862163,SpotCat vs The Cheddar Mafia In Asia,2,0.0008,2025-09-19
3305,2020906073,Supermarket Simulator New York City,2,0.0008,2025-09-04
3322,1804974104,The Devil Is In The Details,2,0.0008,2025-09-12
3365,2024697473,Under Par Golf Architect Demo,2,0.0008,2025-09-09
3489,1868608046,American Truck Simulator 2025,1,0.0004,2025-09-11
3497,1974477711,Animal Kingdom 3,1,0.0004,2025-09-18
3549,1738627078,Bananitro,1,0.0004,2025-09-11
3566,1793344464,Bear Squire Honey Journey (Windows),1,0.0004,2025-09-19
3567,1870087215,Bear Squire Honey Journey (Xbox Series),1,0.0004,2025-09-19
3577,2082409114,BEFORE I GO Demo,1,0.0004,2025-09-09
3619,1677902743,Bonnie Bear Saves Frogtime Demo,1,0.0004,2025-09-09
3711,1946110662,Climb to Peak,1,0.0004,2025-09-25
3715,2042930008,CODE VEIN II - Digital Mini Artbook & Soundtrack,1,0.0004,2025-09-25
3739,2031534546,Creepy Redneck Dinosaur Mansion 3,1,0.0004,2025-09-17
3804,1750169445,DETECTIVE - Scene Crime,1,0.0004,2025-09-04
3805,2043643783,Detective Dotson,1,0.0004,2025-09-09
