title_id,title_name,release_date
10005799,9 Clues 2: The Ward,2023-01-06
10004722,9 Clues: The Secret of Serpent Creek,2022-04-01
10015030,9 Lives to Defend,2025-09-11
232395,9 Monkeys of Shaolin,2019-11-14
10014406,9 Years of Shadows,2025-07-31
10013006,90s Extreme Skiing,2025-01-23
229825,911 Operator,2017-11-28
10005607,99 Moves,2023-06-02
10005546,99 Seconds,2023-01-20
221795,99Vidas,2017-07-17
235102,9th Dawn III,2019-11-14
10012991,9th Dawn Remake,2025-04-24
10012585,A-RED Walking Robot,2025-07-17
233078,A-Tech Cybernetic VR,2020-03-27
232814,A-Train Express,2019-06-06
222827,A Bastard's Tale,2016-10-03
10011711,A Bibelot: Prototo,2024-08-24
10014648,A Bibelot: Tiret sur Will,2025-04-01
10014047,A Bibelot: Y-Break,2025-02-25
10013054,A Bibelot: Y-Type,2024-12-09
10014940,A Blackout Protocol Report,2025-04-25
200046,A Boy and His Blob,2016-01-19
10004946,A Boy and His Blob Retro Collection,2023-10-17
10007145,A Building Full of Cats,2023-06-01
10010888,A Burger in Space - PS4 & PS5,2024-06-28
10017834,A Cafe at the End of the World,2026-01-24
10008505,A Castle Full of Cats,2023-08-17
233126,A Chair in a Room: Greenwater,2019-04-22
10003592,A Day Without Me,2021-09-10
10015763,A Dream About Parking Lots,2025-07-31
233028,A Fisherman's Tale,2023-08-31
10007252,A Fisherman's Tale 2,2023-05-11
10001592,A Fold Apart,2020-05-19
10005809,A Frog's Job,2022-10-07
10018544,A Frog's Job 2: Froggina,2026-05-29
10008682,A Frog Game,2023-06-22
10003179,A Fungus In My Garden,
10015382,A Game About Digging A Hole™,2025-12-09
232894,A Gummy's Life,2021-09-24
228903,A Hat in Time,2017-12-05
206165,A Healer Only Lives Twice,2017-07-24
10000712,A HERO AND A GARDEN,2020-08-28
10010434,A hole new World,2024-10-11
228936,A Hole New World,2017-09-04
10017483,A house that glows,2025-12-19
10001908,A Juggler's Tale,2021-09-29
222831,A KING'S TALE: FINAL FANTASY XV,2017-03-01
228661,A Knight's Quest,2019-10-09
234887,A Light in the Dark,2023-04-05
10002969,A Little Lily Princess,2021-05-28
10008945,A Little to the Left,2024-02-15
10009476,A Little Walk in the Woods,2023-10-31
10017738,A living house,2026-02-13
10006925,A Matter of Principle,2023-01-19
10012727,A Maze Against Time,2024-12-07
10003796,A Memoir Blue,2022-03-24
10003653,A Monster's Expedition (Through Puzzling Exhibitions),2022-05-19
10003456,A Musical Story,2022-03-02
10010694,A Night on the Farm,2024-09-18
10008359,"A Painter's Tale: Curon, 1950",2023-06-08
10006042,A Perfect Day,2023-10-26
221816,A Pixel Story,2017-02-24
10016761,A Pizza Delivery,2025-11-07
10000697,A Place for the Unwilling,2022-03-24
231037,A Plague Tale: Innocence,2021-07-06
10002255,A Plague Tale: Requiem,2022-10-18
10002454,A Pretty Odd Bunny,2021-11-09
10014596,A Prison Digging Game,2025-03-27
10009366,A Quiet Place: The Road Ahead,2024-10-17
10005919,A Rat's Quest - The Way Back Home,
10010114,A Rite from the Stars: Remaster Edition,2025-01-30
10009038,A Robot Named Fight!,2023-09-07
233485,A Room Where Art Conceals,2020-04-08
10003019,A Short Hike,2021-11-16
10004614,A Sketchbook About Her Sun,2022-04-15
10005843,A Space for the Unbound,2023-01-19
10002509,A Street Cat's Tale,2022-04-28
10007774,A Tale For Anna,2023-06-30
235315,A Tale of Paper,2020-10-14
10005062,A Tale of Paper - Refolded,2024-04-18
10009315,A Time Traveller's Guide To Past Delicacies,2024-02-21
10016334,A Tower Full of Cats,2026-08-26
10009003,A Truckzilla - Monster Truck Mega Ramp Mania,2023-09-26
227061,A Way Out,2018-03-22
10015882,A Wild Last Boss Appeared! ~Black-Winged Survivor~,2025-10-04
233571,A Winter's Daydream,2019-10-07
10003810,A YEAR OF SPRINGS,2021-12-10
10014194,A.I.L.A,2025-11-25
200163,A.O.T. Wings of Freedom,2016-08-29
10019715,AA Truck Simulator Euro Roads 2026,2026-12-31
10010964,AAA Dynamic Scenes,2024-12-20
200030,Aabs Animals,2023-03-18
227592,Aaero,2017-12-12
10014832,Aaero2: Black Razor Edition,2025-12-16
200263,Aaru's Awakening,2015-04-06
10002968,Abandoned,
10011603,Abathor,2024-07-25
